[67015-2035] HAUTE PROTECTION High Protection Tinted Compact Broad Spectrum SPF 50 Honey (TITANIUM DIOXIDE, ZINC OXIDE) -- **Product type:** Human Otc Drug  **Active ingredient:** TITANIUM DIOXIDE; ZINC OXIDE  **Strength:** 13.7; 4.9 g/100g; g/100g  **Dosage form:** Cream  **Route:** Topical  **Labeler:** Pierre Fabre USA Inc.  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67015-2036] HAUTE PROTECTION High Protection Tinted Compact Broad Spectrum SPF 50 Beige (TITANIUM DIOXIDE, ZINC OXIDE) -- **Product type:** Human Otc Drug  **Active ingredient:** TITANIUM DIOXIDE; ZINC OXIDE  **Strength:** 13.7; 4.9 g/100g; g/100g  **Dosage form:** Cream  **Route:** Topical  **Labeler:** Pierre Fabre USA Inc.  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67038-203] Bliss Block Star Sheer Liquid Daily Sunscreen SPF 50 (Zinc Oxide) -- **Product type:** Human Otc Drug  **Active ingredient:** ZINC OXIDE  **Strength:** 20 g/100mL  **Dosage form:** Lotion  **Route:** Topical  **Labeler:** Bliss Products Holdings LLC  **Marketing category:** OTC MONOGRAPH DRUG (M020)
[67296-2063] Buprenorphine and Naloxone (Buprenorphine and Naloxone) -- **Product type:** Human Prescription Drug  **Active ingredient:** BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE DIHYDRATE  **Strength:** 2; .5 mg/1; mg/1  **Dosage form:** Film  **Route:** Buccal; Sublingual  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA211785)  **Pharmacologic class:** Opioid Antagonist [EPC], Opioid Antagonists [MoA], Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]  **DEA schedule:** CIII
[67296-2075] DOXYCYCLINE HYCLATE (DOXYCYCLINE HYCLATE) -- **Product type:** Human Prescription Drug  **Active ingredient:** DOXYCYCLINE HYCLATE  **Strength:** 100 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA211343)  **Pharmacologic class:** Tetracycline-class Drug [EPC], Tetracyclines [CS]
[67296-2081] prednisone (prednisone) -- **Product type:** Human Prescription Drug  **Active ingredient:** PREDNISONE  **Strength:** 20 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA213386)  **Pharmacologic class:** Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]
[67296-2084] CYCLOBENZAPRINE HYDROCHLORIDE (cyclobenzaprine hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** CYCLOBENZAPRINE HYDROCHLORIDE  **Strength:** 10 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA208170)  **Pharmacologic class:** Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]
[67296-2093] Hydrocodone Bitartrate and Acetaminophen (hydrocodone bitartrate and acetaminophen) -- **Product type:** Human Prescription Drug  **Active ingredient:** ACETAMINOPHEN; HYDROCODONE BITARTRATE  **Strength:** 325; 7.5 mg/15mL; mg/15mL  **Dosage form:** Solution  **Route:** Oral  **Labeler:** Redpharm drug  **Marketing category:** ANDA (ANDA040838)  **Pharmacologic class:** Opioid Agonist [EPC], Opioid Agonists [MoA]  **DEA schedule:** CII
[67296-2099] PROCHLORPERAZINE MALEATE (Prochlorperazine Maleate) -- **Product type:** Human Prescription Drug  **Active ingredient:** PROCHLORPERAZINE MALEATE  **Strength:** 5 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA217478)  **Pharmacologic class:** Phenothiazine [EPC], Phenothiazines [CS]
[67296-2105] Nitrofurantoin (monohydrate/macrocrystals) (Nitrofurantoin (monohydrate/macrocrystals)) -- **Product type:** Human Prescription Drug  **Active ingredient:** NITROFURANTOIN; NITROFURANTOIN MONOHYDRATE  **Strength:** 25; 75 mg/1; mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA217357)  **Pharmacologic class:** Nitrofuran Antibacterial [EPC], Nitrofuran Antibacterial [EPC], Nitrofurans [CS], Nitrofurans [CS]
[67296-2114] Labetalol Hydrochloride (Labetalol Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** LABETALOL HYDROCHLORIDE  **Strength:** 300 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** RedPharm Drug  **Marketing category:** ANDA (ANDA209603)  **Pharmacologic class:** Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]
[67296-2119] Ondansetron (Ondansetron) -- **Product type:** Human Prescription Drug  **Active ingredient:** ONDANSETRON HYDROCHLORIDE  **Strength:** 4 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA077535)  **Pharmacologic class:** Serotonin 3 Receptor Antagonists [MoA], Serotonin-3 Receptor Antagonist [EPC]
[67296-2120] clonidine hydrochloride (clonidine hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** CLONIDINE HYDROCHLORIDE  **Strength:** .1 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA078895)  **Pharmacologic class:** Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]
[67296-2121] Metronidazole (metronidazole) -- **Product type:** Human Prescription Drug  **Active ingredient:** METRONIDAZOLE  **Strength:** 7.5 mg/g  **Dosage form:** Gel  **Route:** Topical  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA077819)  **Pharmacologic class:** Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]
[67296-2122] Morphine Sulfate (Morphine Sulfate) -- **Product type:** Human Prescription Drug  **Active ingredient:** MORPHINE SULFATE  **Strength:** 15 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA215194)  **Pharmacologic class:** Full Opioid Agonists [MoA], Opioid Agonist [EPC]  **DEA schedule:** CII
[67296-2123] Buprenorphine HCl (Buprenorphine HCl) -- **Product type:** Human Prescription Drug  **Active ingredient:** BUPRENORPHINE HYDROCHLORIDE  **Strength:** 2 mg/1  **Dosage form:** Tablet  **Route:** Sublingual  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA078633)  **Pharmacologic class:** Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]  **DEA schedule:** CIII
[67296-2124] Atropine Sulfate (Atropine Sulfate) -- **Product type:** Human Prescription Drug  **Active ingredient:** ATROPINE SULFATE  **Strength:** 10 mg/mL  **Dosage form:** Solution/ Drops  **Route:** Ophthalmic  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA218148)  **Pharmacologic class:** Anticholinergic [EPC], Cholinergic Antagonists [MoA], Cholinergic Muscarinic Antagonist [EPC], Cholinergic Muscarinic Antagonists [MoA]
[67296-2125] Metoprolol Succinate (Metoprolol Succinate) -- **Product type:** Human Prescription Drug  **Active ingredient:** METOPROLOL SUCCINATE  **Strength:** 25 mg/1  **Dosage form:** Tablet, Film Coated, Extended Release  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA216916)  **Pharmacologic class:** Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]
[67296-2126] levofloxacin (levofloxacin) -- **Product type:** Human Prescription Drug  **Active ingredient:** LEVOFLOXACIN  **Strength:** 500 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA077652)
[67296-2127] Valacyclovir Hydrochloride (valacyclovir) -- **Product type:** Human Prescription Drug  **Active ingredient:** VALACYCLOVIR HYDROCHLORIDE  **Strength:** 500 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA078518)  **Pharmacologic class:** DNA Polymerase Inhibitors [MoA], Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Nucleoside Analog [EXT]
[67296-2128] Erythromycin (Erythromycin) -- **Product type:** Human Prescription Drug  **Active ingredient:** ERYTHROMYCIN  **Strength:** 5 mg/g  **Dosage form:** Ointment  **Route:** Ophthalmic  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA064030)  **Pharmacologic class:** Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]
[67296-2129] Moxifloxacin (Moxifloxacin) -- **Product type:** Human Prescription Drug  **Active ingredient:** MOXIFLOXACIN HYDROCHLORIDE MONOHYDRATE  **Strength:** 5 mg/mL  **Dosage form:** Solution/ Drops  **Route:** Ophthalmic  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA202867)  **Pharmacologic class:** Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]
[67296-2130] ATORVASTATIN CALCIUM (ATORVASTATIN CALCIUM) -- **Product type:** Human Prescription Drug  **Active ingredient:** ATORVASTATIN CALCIUM TRIHYDRATE  **Strength:** 10 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA214344)  **Pharmacologic class:** HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]
[67296-2131] potassium chloride (potassium chloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** POTASSIUM CHLORIDE  **Strength:** 1500 mg/1  **Dosage form:** Tablet, Extended Release  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA203562)  **Pharmacologic class:** Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]
[67296-2133] Famotidine (Famotidine) -- **Product type:** Human Prescription Drug  **Active ingredient:** FAMOTIDINE  **Strength:** 20 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA075302)  **Pharmacologic class:** Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]
[67296-2134] Prednisolone Sodium Phosphate (Prednisolone Sodium Phosphate) -- **Product type:** Human Prescription Drug  **Active ingredient:** PREDNISOLONE SODIUM PHOSPHATE  **Strength:** 15 mg/5mL  **Dosage form:** Solution  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA203559)  **Pharmacologic class:** Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]
[67296-2135] Ciprofloxacin (Ciprofolxacin) -- **Product type:** Human Prescription Drug  **Active ingredient:** CIPROFLOXACIN HYDROCHLORIDE  **Strength:** 500 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA208921)  **Pharmacologic class:** Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]
[67296-2136] Furosemide (Furosemide) -- **Product type:** Human Prescription Drug  **Active ingredient:** FUROSEMIDE  **Strength:** 20 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA216629)  **Pharmacologic class:** Increased Diuresis at Loop of Henle [PE], Loop Diuretic [EPC]
[67296-2137] Nabumetone (Nabumetone) -- **Product type:** Human Prescription Drug  **Active ingredient:** NABUMETONE  **Strength:** 500 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA078420)  **Pharmacologic class:** Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]
[67296-2138] Meclizine Hydrochloride (Meclizine Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** MECLIZINE HYDROCHLORIDE  **Strength:** 25 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA213957)  **Pharmacologic class:** Antiemetic [EPC], Emesis Suppression [PE]
[67296-2139] Furosemide (Furosemide) -- **Product type:** Human Prescription Drug  **Active ingredient:** FUROSEMIDE  **Strength:** 40 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA216629)  **Pharmacologic class:** Increased Diuresis at Loop of Henle [PE], Loop Diuretic [EPC]
[67296-2141] Azithromycin (Azithromycin) -- **Product type:** Human Prescription Drug  **Active ingredient:** AZITHROMYCIN DIHYDRATE  **Strength:** 200 mg/5mL  **Dosage form:** Powder, For Suspension  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA211147)  **Pharmacologic class:** Macrolide Antimicrobial [EPC], Macrolides [CS]
[67296-2142] Dicyclomine hydrochloride (Dicyclomine hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** DICYCLOMINE HYDROCHLORIDE  **Strength:** 20 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA216736)  **Pharmacologic class:** Anticholinergic [EPC], Cholinergic Antagonists [MoA]
[67296-2143] vancomycin hydrochloride (vancomycin hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** VANCOMYCIN HYDROCHLORIDE  **Strength:** 125 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** NDA AUTHORIZED GENERIC (NDA050606)  **Pharmacologic class:** Glycopeptide Antibacterial [EPC], Glycopeptides [CS]
[67296-2145] Phenobarbital (Phenobarbital) -- **Product type:** Human Prescription Drug  **Active ingredient:** PHENOBARBITAL  **Strength:** 32.4 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** UNAPPROVED DRUG OTHER  **DEA schedule:** CIV
[67296-2146] Valacyclovir (Valacyclovir) -- **Product type:** Human Prescription Drug  **Active ingredient:** VALACYCLOVIR HYDROCHLORIDE  **Strength:** 1000 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA209553)  **Pharmacologic class:** DNA Polymerase Inhibitors [MoA], Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Nucleoside Analog [EXT]
[67296-2147] Sucralfate (Sucralfate) -- **Product type:** Human Prescription Drug  **Active ingredient:** SUCRALFATE  **Strength:** 1 g/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA215705)  **Pharmacologic class:** Aluminum Complex [EPC], Organometallic Compounds [CS]
[67296-2149] Clindamycin Hydrochloride (Clindamycin Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** CLINDAMYCIN HYDROCHLORIDE  **Strength:** 300 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA216957)  **Pharmacologic class:** Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]
[67296-2150] Nitrofurantoin Macrocrystals (Nitrofurantoin Macrocrystals) -- **Product type:** Human Prescription Drug  **Active ingredient:** NITROFURANTOIN  **Strength:** 100 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA073652)  **Pharmacologic class:** Nitrofuran Antibacterial [EPC], Nitrofurans [CS]
[67296-2151] Diclofenac Sodium (Diclofenac Sodium) -- **Product type:** Human Prescription Drug  **Active ingredient:** DICLOFENAC SODIUM  **Strength:** 75 mg/1  **Dosage form:** Tablet, Delayed Release  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA216548)  **Pharmacologic class:** Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC]
[67296-2152] Metronidazole (Metronidazole) -- **Product type:** Human Prescription Drug  **Active ingredient:** METRONIDAZOLE  **Strength:** 500 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA203458)  **Pharmacologic class:** Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]
[67296-2153] Benzonatate (Benzonatate) -- **Product type:** Human Prescription Drug  **Active ingredient:** BENZONATATE  **Strength:** 200 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA040597)  **Pharmacologic class:** Decreased Tracheobronchial Stretch Receptor Activity [PE], Non-narcotic Antitussive [EPC]
[67296-2154] Dicyclomine Hydrochloride (Dicyclomine Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** DICYCLOMINE HYDROCHLORIDE  **Strength:** 20 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA040317)  **Pharmacologic class:** Anticholinergic [EPC], Cholinergic Antagonists [MoA]
[67296-2155] Diclofenac Sodium (Diclofenac Sodium) -- **Product type:** Human Otc Drug  **Active ingredient:** DICLOFENAC SODIUM  **Strength:** 10 mg/g  **Dosage form:** Gel  **Route:** Topical  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA204306)  **Pharmacologic class:** Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC]
[67296-2156] LABETALOL HYDROCHLORIDE (Labetalol Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** LABETALOL HYDROCHLORIDE  **Strength:** 100 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA211953)  **Pharmacologic class:** Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]
[67296-2157] Nifedipine (Nifedipine) -- **Product type:** Human Prescription Drug  **Active ingredient:** NIFEDIPINE  **Strength:** 30 mg/1  **Dosage form:** Tablet, Extended Release  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA216067)  **Pharmacologic class:** Calcium Channel Antagonists [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]
[67296-2158] Dicyclomine hydrochloride (Dicyclomine hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** DICYCLOMINE HYDROCHLORIDE  **Strength:** 10 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA217531)  **Pharmacologic class:** Anticholinergic [EPC], Cholinergic Antagonists [MoA]
[67296-2159] OFLOXACIN (OFLOXACIN) -- **Product type:** Human Prescription Drug  **Active ingredient:** OFLOXACIN  **Strength:** 3 mg/mL  **Dosage form:** Solution  **Route:** Auricular (Otic)  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA217903)  **Pharmacologic class:** Quinolone Antimicrobial [EPC], Quinolones [CS]
[67296-2160] Potassium Chloride Extended-release (Potassium Chloride Extended-release) -- **Product type:** Human Prescription Drug  **Active ingredient:** POTASSIUM CHLORIDE  **Strength:** 1500 mg/1  **Dosage form:** Tablet, Extended Release  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA214452)  **Pharmacologic class:** Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]
[67296-2162] Acyclovir (Acyclovir) -- **Product type:** Human Prescription Drug  **Active ingredient:** ACYCLOVIR  **Strength:** 400 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA210401)  **Pharmacologic class:** DNA Polymerase Inhibitors [MoA], Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Nucleoside Analog [EXT]
[67296-2163] Ketorolac Tromethamine (ketorolac tromethamine) -- **Product type:** Human Prescription Drug  **Active ingredient:** KETOROLAC TROMETHAMINE  **Strength:** 10 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA215788)  **Pharmacologic class:** Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]
[67296-2164] Buprenorphine and Naloxone (Buprenorphine and Naloxone) -- **Product type:** Human Prescription Drug  **Active ingredient:** BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE DIHYDRATE  **Strength:** 8; 2 mg/1; mg/1  **Dosage form:** Tablet  **Route:** Sublingual  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA205601)  **Pharmacologic class:** Opioid Antagonist [EPC], Opioid Antagonists [MoA], Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]  **DEA schedule:** CIII
[67296-2165] Doxepin Hydrochloride (Doxepin Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** DOXEPIN HYDROCHLORIDE  **Strength:** 10 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA207482)  **Pharmacologic class:** Tricyclic Antidepressant [EPC]
[67296-2166] Hydrocodone Bitartrate and Acetaminophen (Hydrocodone Bitartrate and Acetaminophen) -- **Product type:** Human Prescription Drug  **Active ingredient:** ACETAMINOPHEN; HYDROCODONE BITARTRATE  **Strength:** 325; 7.5 mg/15mL; mg/15mL  **Dosage form:** Solution  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA211023)  **Pharmacologic class:** Opioid Agonist [EPC], Opioid Agonists [MoA]  **DEA schedule:** CII
[67296-2167] Oxycodone Hydrochloride (Oxycodone Hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** OXYCODONE HYDROCHLORIDE  **Strength:** 5 mg/5mL  **Dosage form:** Solution  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** NDA (NDA200535)  **Pharmacologic class:** Full Opioid Agonists [MoA], Opioid Agonist [EPC]  **DEA schedule:** CII
[67296-2168] Cefuroxime axetil (Cefuroxime axetil) -- **Product type:** Human Prescription Drug  **Active ingredient:** CEFUROXIME AXETIL  **Strength:** 500 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA065496)  **Pharmacologic class:** Cephalosporin Antibacterial [EPC], Cephalosporins [CS]
[67296-2169] Ciprofloxacin (Ciprofolxacin) -- **Product type:** Human Prescription Drug  **Active ingredient:** CIPROFLOXACIN HYDROCHLORIDE  **Strength:** 250 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA208921)  **Pharmacologic class:** Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]
[67296-2170] Nifedipine (Nifedipine) -- **Product type:** Human Prescription Drug  **Active ingredient:** NIFEDIPINE  **Strength:** 30 mg/1  **Dosage form:** Tablet, Extended Release  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA213361)  **Pharmacologic class:** Calcium Channel Antagonists [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]
[67296-2171] Ketorolac Tromethamine (Ketorolac Tromethamine) -- **Product type:** Human Prescription Drug  **Active ingredient:** KETOROLAC TROMETHAMINE  **Strength:** 10 mg/1  **Dosage form:** Tablet, Film Coated  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA216759)  **Pharmacologic class:** Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]
[67296-2172] LOPERAMIDE HYDROCHLORIDE (LOPERAMIDE HYDROCHLORIDE) -- **Product type:** Human Prescription Drug  **Active ingredient:** LOPERAMIDE HYDROCHLORIDE  **Strength:** 2 mg/1  **Dosage form:** Capsule  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA218122)  **Pharmacologic class:** Opioid Agonist [EPC], Opioid Agonists [MoA]
[67296-2173] Buprenorphine (Buprenorphine) -- **Product type:** Human Prescription Drug  **Active ingredient:** BUPRENORPHINE HYDROCHLORIDE  **Strength:** 8 mg/1  **Dosage form:** Tablet  **Route:** Sublingual  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA201760)  **Pharmacologic class:** Partial Opioid Agonist [EPC], Partial Opioid Agonists [MoA]  **DEA schedule:** CIII
[67296-2174] TOBRAMYCIN AND DEXAMETHASONE (tobramycin and dexamethasone) -- **Product type:** Human Prescription Drug  **Active ingredient:** DEXAMETHASONE; TOBRAMYCIN  **Strength:** 1; 3 mg/mL; mg/mL  **Dosage form:** Suspension/ Drops  **Route:** Ophthalmic  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA212715)  **Pharmacologic class:** Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]
[67296-2175] Dicyclomine hydrochloride (Dicyclomine hydrochloride) -- **Product type:** Human Prescription Drug  **Active ingredient:** DICYCLOMINE HYDROCHLORIDE  **Strength:** 20 mg/1  **Dosage form:** Tablet  **Route:** Oral  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA216736)  **Pharmacologic class:** Anticholinergic [EPC], Cholinergic Antagonists [MoA]
[67296-2176] PREDNISOLONE ACETATE (prednisolone acetate) -- **Product type:** Human Prescription Drug  **Active ingredient:** PREDNISOLONE ACETATE  **Strength:** 10 mg/mL  **Dosage form:** Suspension/ Drops  **Route:** Ophthalmic  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA216935)  **Pharmacologic class:** Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]
[67296-2177] NITROGLYCERIN (NITROGLYCERIN) -- **Product type:** Human Prescription Drug  **Active ingredient:** NITROGLYCERIN  **Strength:** .4 mg/1  **Dosage form:** Tablet  **Route:** Sublingual  **Labeler:** Redpharm Drug  **Marketing category:** ANDA (ANDA211604)  **Pharmacologic class:** Nitrate Vasodilator [EPC], Nitrates [CS], Vasodilation [PE]
