[0Q] Lower Bones -- Body system (Lower Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0Q2] Lower Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YX0Z] Change Drainage Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YXYZ] Change Other Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q5] Lower Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0QQ4XZZ] Repair Right Acetabulum, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ50ZZ] Repair Left Acetabulum, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ53ZZ] Repair Left Acetabulum, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ54ZZ] Repair Left Acetabulum, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ5XZZ] Repair Left Acetabulum, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ60ZZ] Repair Right Upper Femur, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ63ZZ] Repair Right Upper Femur, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ64ZZ] Repair Right Upper Femur, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ6XZZ] Repair Right Upper Femur, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ70ZZ] Repair Left Upper Femur, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ73ZZ] Repair Left Upper Femur, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ74ZZ] Repair Left Upper Femur, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ7XZZ] Repair Left Upper Femur, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ80ZZ] Repair Right Femoral Shaft, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ83ZZ] Repair Right Femoral Shaft, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ84ZZ] Repair Right Femoral Shaft, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ8XZZ] Repair Right Femoral Shaft, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ90ZZ] Repair Left Femoral Shaft, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ93ZZ] Repair Left Femoral Shaft, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ94ZZ] Repair Left Femoral Shaft, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQ9XZZ] Repair Left Femoral Shaft, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQB0ZZ] Repair Right Lower Femur, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQB3ZZ] Repair Right Lower Femur, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQB4ZZ] Repair Right Lower Femur, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQBXZZ] Repair Right Lower Femur, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQC0ZZ] Repair Left Lower Femur, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQC3ZZ] Repair Left Lower Femur, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQC4ZZ] Repair Left Lower Femur, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQCXZZ] Repair Left Lower Femur, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQD0ZZ] Repair Right Patella, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQD3ZZ] Repair Right Patella, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQD4ZZ] Repair Right Patella, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQDXZZ] Repair Right Patella, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQF0ZZ] Repair Left Patella, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQF3ZZ] Repair Left Patella, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQF4ZZ] Repair Left Patella, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQFXZZ] Repair Left Patella, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQG0ZZ] Repair Right Tibia, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQG3ZZ] Repair Right Tibia, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQG4ZZ] Repair Right Tibia, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQGXZZ] Repair Right Tibia, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQH0ZZ] Repair Left Tibia, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQH3ZZ] Repair Left Tibia, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQH4ZZ] Repair Left Tibia, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQHXZZ] Repair Left Tibia, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQJ0ZZ] Repair Right Fibula, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQJ3ZZ] Repair Right Fibula, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQJ4ZZ] Repair Right Fibula, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQJXZZ] Repair Right Fibula, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQK0ZZ] Repair Left Fibula, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQK3ZZ] Repair Left Fibula, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQK4ZZ] Repair Left Fibula, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQKXZZ] Repair Left Fibula, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQL0ZZ] Repair Right Tarsal, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQL3ZZ] Repair Right Tarsal, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQL4ZZ] Repair Right Tarsal, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQLXZZ] Repair Right Tarsal, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQM0ZZ] Repair Left Tarsal, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQM3ZZ] Repair Left Tarsal, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQM4ZZ] Repair Left Tarsal, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQMXZZ] Repair Left Tarsal, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQN0ZZ] Repair Right Metatarsal, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQN3ZZ] Repair Right Metatarsal, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQN4ZZ] Repair Right Metatarsal, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQNXZZ] Repair Right Metatarsal, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQP0ZZ] Repair Left Metatarsal, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQP3ZZ] Repair Left Metatarsal, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQP4ZZ] Repair Left Metatarsal, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQPXZZ] Repair Left Metatarsal, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQQ0ZZ] Repair Right Toe Phalanx, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQQ3ZZ] Repair Right Toe Phalanx, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQQ4ZZ] Repair Right Toe Phalanx, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQQXZZ] Repair Right Toe Phalanx, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQR0ZZ] Repair Left Toe Phalanx, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQR3ZZ] Repair Left Toe Phalanx, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQR4ZZ] Repair Left Toe Phalanx, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQRXZZ] Repair Left Toe Phalanx, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQS0ZZ] Repair Coccyx, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQS3ZZ] Repair Coccyx, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQS4ZZ] Repair Coccyx, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QQSXZZ] Repair Coccyx, External Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0QR] Lower Bones, Replacement -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR007Z] Replacement of Lumbar Vertebra with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR00JZ] Replacement of Lumbar Vertebra with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR00KZ] Replacement of Lumbar Vertebra with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR037Z] Replacement of Lumbar Vertebra with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR03JZ] Replacement of Lumbar Vertebra with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR03KZ] Replacement of Lumbar Vertebra with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR047Z] Replacement of Lumbar Vertebra with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR04JZ] Replacement of Lumbar Vertebra with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR04KZ] Replacement of Lumbar Vertebra with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR107Z] Replacement of Sacrum with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR10JZ] Replacement of Sacrum with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR10KZ] Replacement of Sacrum with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR137Z] Replacement of Sacrum with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR13JZ] Replacement of Sacrum with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR13KZ] Replacement of Sacrum with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR147Z] Replacement of Sacrum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR14JZ] Replacement of Sacrum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR14KZ] Replacement of Sacrum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR207Z] Replacement of Right Pelvic Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR20JZ] Replacement of Right Pelvic Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR20KZ] Replacement of Right Pelvic Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR237Z] Replacement of Right Pelvic Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR23JZ] Replacement of Right Pelvic Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR23KZ] Replacement of Right Pelvic Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR247Z] Replacement of Right Pelvic Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR24JZ] Replacement of Right Pelvic Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR24KZ] Replacement of Right Pelvic Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR307Z] Replacement of Left Pelvic Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR30JZ] Replacement of Left Pelvic Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR30KZ] Replacement of Left Pelvic Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR337Z] Replacement of Left Pelvic Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR33JZ] Replacement of Left Pelvic Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR33KZ] Replacement of Left Pelvic Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR347Z] Replacement of Left Pelvic Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR34JZ] Replacement of Left Pelvic Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR34KZ] Replacement of Left Pelvic Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR407Z] Replacement of Right Acetabulum with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR40JZ] Replacement of Right Acetabulum with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR40KZ] Replacement of Right Acetabulum with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR437Z] Replacement of Right Acetabulum with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR43JZ] Replacement of Right Acetabulum with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR43KZ] Replacement of Right Acetabulum with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR447Z] Replacement of Right Acetabulum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR44JZ] Replacement of Right Acetabulum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR44KZ] Replacement of Right Acetabulum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR507Z] Replacement of Left Acetabulum with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR50JZ] Replacement of Left Acetabulum with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR50KZ] Replacement of Left Acetabulum with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR537Z] Replacement of Left Acetabulum with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR53JZ] Replacement of Left Acetabulum with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR53KZ] Replacement of Left Acetabulum with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR547Z] Replacement of Left Acetabulum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR54JZ] Replacement of Left Acetabulum with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR54KZ] Replacement of Left Acetabulum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR607Z] Replacement of Right Upper Femur with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR60JZ] Replacement of Right Upper Femur with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR60KZ] Replacement of Right Upper Femur with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR637Z] Replacement of Right Upper Femur with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR63JZ] Replacement of Right Upper Femur with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR63KZ] Replacement of Right Upper Femur with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR647Z] Replacement of Right Upper Femur with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR64JZ] Replacement of Right Upper Femur with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR64KZ] Replacement of Right Upper Femur with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR707Z] Replacement of Left Upper Femur with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR70JZ] Replacement of Left Upper Femur with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR70KZ] Replacement of Left Upper Femur with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR737Z] Replacement of Left Upper Femur with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR73JZ] Replacement of Left Upper Femur with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR73KZ] Replacement of Left Upper Femur with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR747Z] Replacement of Left Upper Femur with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR74JZ] Replacement of Left Upper Femur with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR74KZ] Replacement of Left Upper Femur with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR807Z] Replacement of Right Femoral Shaft with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR80JZ] Replacement of Right Femoral Shaft with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR80KZ] Replacement of Right Femoral Shaft with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR837Z] Replacement of Right Femoral Shaft with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR83JZ] Replacement of Right Femoral Shaft with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR83KZ] Replacement of Right Femoral Shaft with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR847Z] Replacement of Right Femoral Shaft with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR84JZ] Replacement of Right Femoral Shaft with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR84KZ] Replacement of Right Femoral Shaft with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR907Z] Replacement of Left Femoral Shaft with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR90JZ] Replacement of Left Femoral Shaft with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR90KZ] Replacement of Left Femoral Shaft with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR937Z] Replacement of Left Femoral Shaft with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR93JZ] Replacement of Left Femoral Shaft with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR93KZ] Replacement of Left Femoral Shaft with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR947Z] Replacement of Left Femoral Shaft with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR94JZ] Replacement of Left Femoral Shaft with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QR94KZ] Replacement of Left Femoral Shaft with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRB07Z] Replacement of Right Lower Femur with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRB0JZ] Replacement of Right Lower Femur with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRB0KZ] Replacement of Right Lower Femur with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRB37Z] Replacement of Right Lower Femur with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRB3JZ] Replacement of Right Lower Femur with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRB3KZ] Replacement of Right Lower Femur with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRB47Z] Replacement of Right Lower Femur with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRB4JZ] Replacement of Right Lower Femur with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRB4KZ] Replacement of Right Lower Femur with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRC07Z] Replacement of Left Lower Femur with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRC0JZ] Replacement of Left Lower Femur with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRC0KZ] Replacement of Left Lower Femur with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0QRC37Z] Replacement of Left Lower Femur with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
