[0K] Muscles -- Body system (Muscles) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0K2] Muscles, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XX0Z] Change Drainage Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XXYZ] Change Other Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YX0Z] Change Drainage Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YXYZ] Change Other Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K5] Muscles, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0KRB4JZ] Replacement of Left Lower Arm and Wrist Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRB4KZ] Replacement of Left Lower Arm and Wrist Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRC07Z] Replacement of Right Hand Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRC0JZ] Replacement of Right Hand Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRC0KZ] Replacement of Right Hand Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRC47Z] Replacement of Right Hand Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRC4JZ] Replacement of Right Hand Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRC4KZ] Replacement of Right Hand Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRD07Z] Replacement of Left Hand Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRD0JZ] Replacement of Left Hand Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRD0KZ] Replacement of Left Hand Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRD47Z] Replacement of Left Hand Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRD4JZ] Replacement of Left Hand Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRD4KZ] Replacement of Left Hand Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRF07Z] Replacement of Right Trunk Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRF0JZ] Replacement of Right Trunk Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRF0KZ] Replacement of Right Trunk Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRF47Z] Replacement of Right Trunk Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRF4JZ] Replacement of Right Trunk Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRF4KZ] Replacement of Right Trunk Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRG07Z] Replacement of Left Trunk Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRG0JZ] Replacement of Left Trunk Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRG0KZ] Replacement of Left Trunk Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRG47Z] Replacement of Left Trunk Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRG4JZ] Replacement of Left Trunk Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRG4KZ] Replacement of Left Trunk Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRH07Z] Replacement of Right Thorax Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRH0JZ] Replacement of Right Thorax Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRH0KZ] Replacement of Right Thorax Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRH47Z] Replacement of Right Thorax Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRH4JZ] Replacement of Right Thorax Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRH4KZ] Replacement of Right Thorax Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRJ07Z] Replacement of Left Thorax Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRJ0JZ] Replacement of Left Thorax Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRJ0KZ] Replacement of Left Thorax Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRJ47Z] Replacement of Left Thorax Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRJ4JZ] Replacement of Left Thorax Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRJ4KZ] Replacement of Left Thorax Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRK07Z] Replacement of Right Abdomen Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRK0JZ] Replacement of Right Abdomen Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRK0KZ] Replacement of Right Abdomen Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRK47Z] Replacement of Right Abdomen Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRK4JZ] Replacement of Right Abdomen Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRK4KZ] Replacement of Right Abdomen Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRL07Z] Replacement of Left Abdomen Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRL0JZ] Replacement of Left Abdomen Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRL0KZ] Replacement of Left Abdomen Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRL47Z] Replacement of Left Abdomen Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRL4JZ] Replacement of Left Abdomen Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRL4KZ] Replacement of Left Abdomen Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRM07Z] Replacement of Perineum Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRM0JZ] Replacement of Perineum Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRM0KZ] Replacement of Perineum Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRM47Z] Replacement of Perineum Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRM4JZ] Replacement of Perineum Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRM4KZ] Replacement of Perineum Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRN07Z] Replacement of Right Hip Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRN0JZ] Replacement of Right Hip Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRN0KZ] Replacement of Right Hip Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRN47Z] Replacement of Right Hip Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRN4JZ] Replacement of Right Hip Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRN4KZ] Replacement of Right Hip Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRP07Z] Replacement of Left Hip Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRP0JZ] Replacement of Left Hip Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRP0KZ] Replacement of Left Hip Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRP47Z] Replacement of Left Hip Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRP4JZ] Replacement of Left Hip Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRP4KZ] Replacement of Left Hip Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRQ07Z] Replacement of Right Upper Leg Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRQ0JZ] Replacement of Right Upper Leg Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRQ0KZ] Replacement of Right Upper Leg Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRQ47Z] Replacement of Right Upper Leg Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRQ4JZ] Replacement of Right Upper Leg Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRQ4KZ] Replacement of Right Upper Leg Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRR07Z] Replacement of Left Upper Leg Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRR0JZ] Replacement of Left Upper Leg Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRR0KZ] Replacement of Left Upper Leg Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRR47Z] Replacement of Left Upper Leg Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRR4JZ] Replacement of Left Upper Leg Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRR4KZ] Replacement of Left Upper Leg Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRS07Z] Replacement of Right Lower Leg Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRS0JZ] Replacement of Right Lower Leg Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRS0KZ] Replacement of Right Lower Leg Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRS47Z] Replacement of Right Lower Leg Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRS4JZ] Replacement of Right Lower Leg Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRS4KZ] Replacement of Right Lower Leg Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRT07Z] Replacement of Left Lower Leg Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRT0JZ] Replacement of Left Lower Leg Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRT0KZ] Replacement of Left Lower Leg Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRT47Z] Replacement of Left Lower Leg Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRT4JZ] Replacement of Left Lower Leg Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRT4KZ] Replacement of Left Lower Leg Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRV07Z] Replacement of Right Foot Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRV0JZ] Replacement of Right Foot Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRV0KZ] Replacement of Right Foot Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRV47Z] Replacement of Right Foot Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRV4JZ] Replacement of Right Foot Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRV4KZ] Replacement of Right Foot Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRW07Z] Replacement of Left Foot Muscle with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRW0JZ] Replacement of Left Foot Muscle with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRW0KZ] Replacement of Left Foot Muscle with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRW47Z] Replacement of Left Foot Muscle with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRW4JZ] Replacement of Left Foot Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KRW4KZ] Replacement of Left Foot Muscle with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0KS] Muscles, Reposition -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS00ZZ] Reposition Head Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS04ZZ] Reposition Head Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS10ZZ] Reposition Facial Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS14ZZ] Reposition Facial Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS20ZZ] Reposition Right Neck Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS24ZZ] Reposition Right Neck Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS30ZZ] Reposition Left Neck Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS34ZZ] Reposition Left Neck Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS40ZZ] Reposition Tongue, Palate, Pharynx Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS44ZZ] Reposition Tongue, Palate, Pharynx Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS50ZZ] Reposition Right Shoulder Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS54ZZ] Reposition Right Shoulder Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS60ZZ] Reposition Left Shoulder Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS64ZZ] Reposition Left Shoulder Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS70ZZ] Reposition Right Upper Arm Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS74ZZ] Reposition Right Upper Arm Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS80ZZ] Reposition Left Upper Arm Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS84ZZ] Reposition Left Upper Arm Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS90ZZ] Reposition Right Lower Arm and Wrist Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KS94ZZ] Reposition Right Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSB0ZZ] Reposition Left Lower Arm and Wrist Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSB4ZZ] Reposition Left Lower Arm and Wrist Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSC0ZZ] Reposition Right Hand Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSC4ZZ] Reposition Right Hand Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSD0ZZ] Reposition Left Hand Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSD4ZZ] Reposition Left Hand Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSF0ZZ] Reposition Right Trunk Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSF4ZZ] Reposition Right Trunk Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSG0ZZ] Reposition Left Trunk Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSG4ZZ] Reposition Left Trunk Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSH0ZZ] Reposition Right Thorax Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSH4ZZ] Reposition Right Thorax Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSJ0ZZ] Reposition Left Thorax Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSJ4ZZ] Reposition Left Thorax Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSK0ZZ] Reposition Right Abdomen Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSK4ZZ] Reposition Right Abdomen Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSL0ZZ] Reposition Left Abdomen Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSL4ZZ] Reposition Left Abdomen Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSM0ZZ] Reposition Perineum Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSM4ZZ] Reposition Perineum Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSN0ZZ] Reposition Right Hip Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSN4ZZ] Reposition Right Hip Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSP0ZZ] Reposition Left Hip Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSP4ZZ] Reposition Left Hip Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSQ0ZZ] Reposition Right Upper Leg Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSQ4ZZ] Reposition Right Upper Leg Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSR0ZZ] Reposition Left Upper Leg Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSR4ZZ] Reposition Left Upper Leg Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSS0ZZ] Reposition Right Lower Leg Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSS4ZZ] Reposition Right Lower Leg Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KST0ZZ] Reposition Left Lower Leg Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KST4ZZ] Reposition Left Lower Leg Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSV0ZZ] Reposition Right Foot Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSV4ZZ] Reposition Right Foot Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSW0ZZ] Reposition Left Foot Muscle, Open Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KSW4ZZ] Reposition Left Foot Muscle, Percutaneous Endoscopic Approach -- Moving to its normal location, or other suitable location, all or a portion of a body part
[0KT] Muscles, Resection -- Cutting out or off, without replacement, all of a body part
[0KT00ZZ] Resection of Head Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KT04ZZ] Resection of Head Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KT10ZZ] Resection of Facial Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KT14ZZ] Resection of Facial Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KT20ZZ] Resection of Right Neck Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KT24ZZ] Resection of Right Neck Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KT30ZZ] Resection of Left Neck Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KT34ZZ] Resection of Left Neck Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KT40ZZ] Resection of Tongue, Palate, Pharynx Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KT44ZZ] Resection of Tongue, Palate, Pharynx Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KT50ZZ] Resection of Right Shoulder Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
[0KT54ZZ] Resection of Right Shoulder Muscle, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0KT60ZZ] Resection of Left Shoulder Muscle, Open Approach -- Cutting out or off, without replacement, all of a body part
