[0D] Gastrointestinal System -- Body system (Gastrointestinal System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0D1] Gastrointestinal System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0DL44ZZ] Occlusion of Esophagogastric Junction, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL47DZ] Occlusion of Esophagogastric Junction with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL47ZZ] Occlusion of Esophagogastric Junction, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL48DZ] Occlusion of Esophagogastric Junction with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DL48ZZ] Occlusion of Esophagogastric Junction, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DL50CZ] Occlusion of Esophagus with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL50DZ] Occlusion of Esophagus with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL50ZZ] Occlusion of Esophagus, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL53CZ] Occlusion of Esophagus with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL53DZ] Occlusion of Esophagus with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL53ZZ] Occlusion of Esophagus, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL54CZ] Occlusion of Esophagus with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL54DZ] Occlusion of Esophagus with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL54ZZ] Occlusion of Esophagus, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL57DZ] Occlusion of Esophagus with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL57ZZ] Occlusion of Esophagus, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL58DZ] Occlusion of Esophagus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DL58ZZ] Occlusion of Esophagus, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DL60CZ] Occlusion of Stomach with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL60DZ] Occlusion of Stomach with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL60ZZ] Occlusion of Stomach, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL63CZ] Occlusion of Stomach with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL63DZ] Occlusion of Stomach with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL63ZZ] Occlusion of Stomach, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL64CZ] Occlusion of Stomach with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL64DZ] Occlusion of Stomach with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL64ZZ] Occlusion of Stomach, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL67DZ] Occlusion of Stomach with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL67ZZ] Occlusion of Stomach, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL68DZ] Occlusion of Stomach with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DL68ZZ] Occlusion of Stomach, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DL70CZ] Occlusion of Stomach, Pylorus with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL70DZ] Occlusion of Stomach, Pylorus with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL70ZZ] Occlusion of Stomach, Pylorus, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL73CZ] Occlusion of Stomach, Pylorus with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL73DZ] Occlusion of Stomach, Pylorus with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL73ZZ] Occlusion of Stomach, Pylorus, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL74CZ] Occlusion of Stomach, Pylorus with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL74DZ] Occlusion of Stomach, Pylorus with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL74ZZ] Occlusion of Stomach, Pylorus, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL77DZ] Occlusion of Stomach, Pylorus with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL77ZZ] Occlusion of Stomach, Pylorus, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL78DZ] Occlusion of Stomach, Pylorus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DL78ZZ] Occlusion of Stomach, Pylorus, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DL80CZ] Occlusion of Small Intestine with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL80DZ] Occlusion of Small Intestine with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL80ZZ] Occlusion of Small Intestine, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL83CZ] Occlusion of Small Intestine with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL83DZ] Occlusion of Small Intestine with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL83ZZ] Occlusion of Small Intestine, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL84CZ] Occlusion of Small Intestine with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL84DZ] Occlusion of Small Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL84ZZ] Occlusion of Small Intestine, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL87DZ] Occlusion of Small Intestine with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL87ZZ] Occlusion of Small Intestine, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL88DZ] Occlusion of Small Intestine with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DL88ZZ] Occlusion of Small Intestine, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DL90CZ] Occlusion of Duodenum with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL90DZ] Occlusion of Duodenum with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL90ZZ] Occlusion of Duodenum, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL93CZ] Occlusion of Duodenum with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL93DZ] Occlusion of Duodenum with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL93ZZ] Occlusion of Duodenum, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL94CZ] Occlusion of Duodenum with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL94DZ] Occlusion of Duodenum with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL94ZZ] Occlusion of Duodenum, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DL97DZ] Occlusion of Duodenum with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL97ZZ] Occlusion of Duodenum, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DL98DZ] Occlusion of Duodenum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DL98ZZ] Occlusion of Duodenum, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLA0CZ] Occlusion of Jejunum with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLA0DZ] Occlusion of Jejunum with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLA0ZZ] Occlusion of Jejunum, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLA3CZ] Occlusion of Jejunum with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLA3DZ] Occlusion of Jejunum with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLA3ZZ] Occlusion of Jejunum, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLA4CZ] Occlusion of Jejunum with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLA4DZ] Occlusion of Jejunum with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLA4ZZ] Occlusion of Jejunum, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLA7DZ] Occlusion of Jejunum with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLA7ZZ] Occlusion of Jejunum, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLA8DZ] Occlusion of Jejunum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLA8ZZ] Occlusion of Jejunum, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLB0CZ] Occlusion of Ileum with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLB0DZ] Occlusion of Ileum with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLB0ZZ] Occlusion of Ileum, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLB3CZ] Occlusion of Ileum with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLB3DZ] Occlusion of Ileum with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLB3ZZ] Occlusion of Ileum, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLB4CZ] Occlusion of Ileum with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLB4DZ] Occlusion of Ileum with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLB4ZZ] Occlusion of Ileum, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLB7DZ] Occlusion of Ileum with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLB7ZZ] Occlusion of Ileum, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLB8DZ] Occlusion of Ileum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLB8ZZ] Occlusion of Ileum, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLC0CZ] Occlusion of Ileocecal Valve with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLC0DZ] Occlusion of Ileocecal Valve with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLC0ZZ] Occlusion of Ileocecal Valve, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLC3CZ] Occlusion of Ileocecal Valve with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLC3DZ] Occlusion of Ileocecal Valve with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLC3ZZ] Occlusion of Ileocecal Valve, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLC4CZ] Occlusion of Ileocecal Valve with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLC4DZ] Occlusion of Ileocecal Valve with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLC4ZZ] Occlusion of Ileocecal Valve, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLC7DZ] Occlusion of Ileocecal Valve with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLC7ZZ] Occlusion of Ileocecal Valve, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLC8DZ] Occlusion of Ileocecal Valve with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLC8ZZ] Occlusion of Ileocecal Valve, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLE0CZ] Occlusion of Large Intestine with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLE0DZ] Occlusion of Large Intestine with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLE0ZZ] Occlusion of Large Intestine, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLE3CZ] Occlusion of Large Intestine with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLE3DZ] Occlusion of Large Intestine with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLE3ZZ] Occlusion of Large Intestine, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLE4CZ] Occlusion of Large Intestine with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLE4DZ] Occlusion of Large Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLE4ZZ] Occlusion of Large Intestine, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLE7DZ] Occlusion of Large Intestine with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLE7ZZ] Occlusion of Large Intestine, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLE8DZ] Occlusion of Large Intestine with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLE8ZZ] Occlusion of Large Intestine, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLF0CZ] Occlusion of Right Large Intestine with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLF0DZ] Occlusion of Right Large Intestine with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLF0ZZ] Occlusion of Right Large Intestine, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLF3CZ] Occlusion of Right Large Intestine with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLF3DZ] Occlusion of Right Large Intestine with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLF3ZZ] Occlusion of Right Large Intestine, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLF4CZ] Occlusion of Right Large Intestine with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLF4DZ] Occlusion of Right Large Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLF4ZZ] Occlusion of Right Large Intestine, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLF7DZ] Occlusion of Right Large Intestine with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLF7ZZ] Occlusion of Right Large Intestine, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLF8DZ] Occlusion of Right Large Intestine with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLF8ZZ] Occlusion of Right Large Intestine, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLG0CZ] Occlusion of Left Large Intestine with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLG0DZ] Occlusion of Left Large Intestine with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLG0ZZ] Occlusion of Left Large Intestine, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLG3CZ] Occlusion of Left Large Intestine with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLG3DZ] Occlusion of Left Large Intestine with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLG3ZZ] Occlusion of Left Large Intestine, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLG4CZ] Occlusion of Left Large Intestine with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLG4DZ] Occlusion of Left Large Intestine with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLG4ZZ] Occlusion of Left Large Intestine, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLG7DZ] Occlusion of Left Large Intestine with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLG7ZZ] Occlusion of Left Large Intestine, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLG8DZ] Occlusion of Left Large Intestine with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLG8ZZ] Occlusion of Left Large Intestine, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLH0CZ] Occlusion of Cecum with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLH0DZ] Occlusion of Cecum with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLH0ZZ] Occlusion of Cecum, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLH3CZ] Occlusion of Cecum with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLH3DZ] Occlusion of Cecum with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLH3ZZ] Occlusion of Cecum, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLH4CZ] Occlusion of Cecum with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLH4DZ] Occlusion of Cecum with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLH4ZZ] Occlusion of Cecum, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLH7DZ] Occlusion of Cecum with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLH7ZZ] Occlusion of Cecum, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLH8DZ] Occlusion of Cecum with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLH8ZZ] Occlusion of Cecum, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLK0CZ] Occlusion of Ascending Colon with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLK0DZ] Occlusion of Ascending Colon with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLK0ZZ] Occlusion of Ascending Colon, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLK3CZ] Occlusion of Ascending Colon with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLK3DZ] Occlusion of Ascending Colon with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLK3ZZ] Occlusion of Ascending Colon, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLK4CZ] Occlusion of Ascending Colon with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLK4DZ] Occlusion of Ascending Colon with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLK4ZZ] Occlusion of Ascending Colon, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLK7DZ] Occlusion of Ascending Colon with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLK7ZZ] Occlusion of Ascending Colon, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLK8DZ] Occlusion of Ascending Colon with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLK8ZZ] Occlusion of Ascending Colon, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLL0CZ] Occlusion of Transverse Colon with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLL0DZ] Occlusion of Transverse Colon with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLL0ZZ] Occlusion of Transverse Colon, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLL3CZ] Occlusion of Transverse Colon with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLL3DZ] Occlusion of Transverse Colon with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLL3ZZ] Occlusion of Transverse Colon, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLL4CZ] Occlusion of Transverse Colon with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLL4DZ] Occlusion of Transverse Colon with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLL4ZZ] Occlusion of Transverse Colon, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLL7DZ] Occlusion of Transverse Colon with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLL7ZZ] Occlusion of Transverse Colon, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLL8DZ] Occlusion of Transverse Colon with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLL8ZZ] Occlusion of Transverse Colon, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLM0CZ] Occlusion of Descending Colon with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLM0DZ] Occlusion of Descending Colon with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLM0ZZ] Occlusion of Descending Colon, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLM3CZ] Occlusion of Descending Colon with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLM3DZ] Occlusion of Descending Colon with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLM3ZZ] Occlusion of Descending Colon, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLM4CZ] Occlusion of Descending Colon with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLM4DZ] Occlusion of Descending Colon with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLM4ZZ] Occlusion of Descending Colon, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLM7DZ] Occlusion of Descending Colon with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLM7ZZ] Occlusion of Descending Colon, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLM8DZ] Occlusion of Descending Colon with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLM8ZZ] Occlusion of Descending Colon, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLN0CZ] Occlusion of Sigmoid Colon with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLN0DZ] Occlusion of Sigmoid Colon with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLN0ZZ] Occlusion of Sigmoid Colon, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLN3CZ] Occlusion of Sigmoid Colon with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLN3DZ] Occlusion of Sigmoid Colon with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLN3ZZ] Occlusion of Sigmoid Colon, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLN4CZ] Occlusion of Sigmoid Colon with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLN4DZ] Occlusion of Sigmoid Colon with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLN4ZZ] Occlusion of Sigmoid Colon, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0DLN7DZ] Occlusion of Sigmoid Colon with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLN7ZZ] Occlusion of Sigmoid Colon, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0DLN8DZ] Occlusion of Sigmoid Colon with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLN8ZZ] Occlusion of Sigmoid Colon, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0DLP0CZ] Occlusion of Rectum with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
