[02] Heart and Great Vessels -- Body system (Heart and Great Vessels) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[021] Heart and Great Vessels, Bypass -- Altering the route of passage of the contents of a tubular body part
[02HN4YZ] Insertion of Other Device into Pericardium, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP00Z] Insertion of Pressure Sensor Monitoring Device into Pulmonary Trunk, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP02Z] Insertion of Monitoring Device into Pulmonary Trunk, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP03Z] Insertion of Infusion Device into Pulmonary Trunk, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP0DZ] Insertion of Intraluminal Device into Pulmonary Trunk, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP0YZ] Insertion of Other Device into Pulmonary Trunk, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP30Z] Insertion of Pressure Sensor Monitoring Device into Pulmonary Trunk, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP32Z] Insertion of Monitoring Device into Pulmonary Trunk, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP33Z] Insertion of Infusion Device into Pulmonary Trunk, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP3DZ] Insertion of Intraluminal Device into Pulmonary Trunk, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP3YZ] Insertion of Other Device into Pulmonary Trunk, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP40Z] Insertion of Pressure Sensor Monitoring Device into Pulmonary Trunk, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP42Z] Insertion of Monitoring Device into Pulmonary Trunk, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP43Z] Insertion of Infusion Device into Pulmonary Trunk, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP4DZ] Insertion of Intraluminal Device into Pulmonary Trunk, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HP4YZ] Insertion of Other Device into Pulmonary Trunk, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ00Z] Insertion of Pressure Sensor Monitoring Device into Right Pulmonary Artery, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ02Z] Insertion of Monitoring Device into Right Pulmonary Artery, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ03Z] Insertion of Infusion Device into Right Pulmonary Artery, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ0DZ] Insertion of Intraluminal Device into Right Pulmonary Artery, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ0YZ] Insertion of Other Device into Right Pulmonary Artery, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ30Z] Insertion of Pressure Sensor Monitoring Device into Right Pulmonary Artery, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ32Z] Insertion of Monitoring Device into Right Pulmonary Artery, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ33Z] Insertion of Infusion Device into Right Pulmonary Artery, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ3DZ] Insertion of Intraluminal Device into Right Pulmonary Artery, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ3YZ] Insertion of Other Device into Right Pulmonary Artery, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ40Z] Insertion of Pressure Sensor Monitoring Device into Right Pulmonary Artery, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ42Z] Insertion of Monitoring Device into Right Pulmonary Artery, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ43Z] Insertion of Infusion Device into Right Pulmonary Artery, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ4DZ] Insertion of Intraluminal Device into Right Pulmonary Artery, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HQ4YZ] Insertion of Other Device into Right Pulmonary Artery, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR00Z] Insertion of Pressure Sensor Monitoring Device into Left Pulmonary Artery, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR02Z] Insertion of Monitoring Device into Left Pulmonary Artery, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR03Z] Insertion of Infusion Device into Left Pulmonary Artery, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR0DZ] Insertion of Intraluminal Device into Left Pulmonary Artery, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR0YZ] Insertion of Other Device into Left Pulmonary Artery, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR30Z] Insertion of Pressure Sensor Monitoring Device into Left Pulmonary Artery, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR32Z] Insertion of Monitoring Device into Left Pulmonary Artery, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR33Z] Insertion of Infusion Device into Left Pulmonary Artery, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR3DZ] Insertion of Intraluminal Device into Left Pulmonary Artery, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR3YZ] Insertion of Other Device into Left Pulmonary Artery, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR40Z] Insertion of Pressure Sensor Monitoring Device into Left Pulmonary Artery, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR42Z] Insertion of Monitoring Device into Left Pulmonary Artery, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR43Z] Insertion of Infusion Device into Left Pulmonary Artery, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR4DZ] Insertion of Intraluminal Device into Left Pulmonary Artery, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HR4YZ] Insertion of Other Device into Left Pulmonary Artery, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS00Z] Insertion of Pressure Sensor Monitoring Device into Right Pulmonary Vein, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS02Z] Insertion of Monitoring Device into Right Pulmonary Vein, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS03Z] Insertion of Infusion Device into Right Pulmonary Vein, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS0DZ] Insertion of Intraluminal Device into Right Pulmonary Vein, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS0YZ] Insertion of Other Device into Right Pulmonary Vein, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS30Z] Insertion of Pressure Sensor Monitoring Device into Right Pulmonary Vein, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS32Z] Insertion of Monitoring Device into Right Pulmonary Vein, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS33Z] Insertion of Infusion Device into Right Pulmonary Vein, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS3DZ] Insertion of Intraluminal Device into Right Pulmonary Vein, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS3YZ] Insertion of Other Device into Right Pulmonary Vein, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS40Z] Insertion of Pressure Sensor Monitoring Device into Right Pulmonary Vein, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS42Z] Insertion of Monitoring Device into Right Pulmonary Vein, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS43Z] Insertion of Infusion Device into Right Pulmonary Vein, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS4DZ] Insertion of Intraluminal Device into Right Pulmonary Vein, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HS4YZ] Insertion of Other Device into Right Pulmonary Vein, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT00Z] Insertion of Pressure Sensor Monitoring Device into Left Pulmonary Vein, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT02Z] Insertion of Monitoring Device into Left Pulmonary Vein, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT03Z] Insertion of Infusion Device into Left Pulmonary Vein, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT0DZ] Insertion of Intraluminal Device into Left Pulmonary Vein, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT0YZ] Insertion of Other Device into Left Pulmonary Vein, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT30Z] Insertion of Pressure Sensor Monitoring Device into Left Pulmonary Vein, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT32Z] Insertion of Monitoring Device into Left Pulmonary Vein, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT33Z] Insertion of Infusion Device into Left Pulmonary Vein, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT3DZ] Insertion of Intraluminal Device into Left Pulmonary Vein, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT3YZ] Insertion of Other Device into Left Pulmonary Vein, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT40Z] Insertion of Pressure Sensor Monitoring Device into Left Pulmonary Vein, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT42Z] Insertion of Monitoring Device into Left Pulmonary Vein, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT43Z] Insertion of Infusion Device into Left Pulmonary Vein, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT4DZ] Insertion of Intraluminal Device into Left Pulmonary Vein, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HT4YZ] Insertion of Other Device into Left Pulmonary Vein, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV00Z] Insertion of Pressure Sensor Monitoring Device into Superior Vena Cava, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV02Z] Insertion of Monitoring Device into Superior Vena Cava, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV03Z] Insertion of Infusion Device into Superior Vena Cava, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV0DZ] Insertion of Intraluminal Device into Superior Vena Cava, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV0YZ] Insertion of Other Device into Superior Vena Cava, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV30Z] Insertion of Pressure Sensor Monitoring Device into Superior Vena Cava, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV32Z] Insertion of Monitoring Device into Superior Vena Cava, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV33Z] Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV3DZ] Insertion of Intraluminal Device into Superior Vena Cava, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV3YZ] Insertion of Other Device into Superior Vena Cava, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV40Z] Insertion of Pressure Sensor Monitoring Device into Superior Vena Cava, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV42Z] Insertion of Monitoring Device into Superior Vena Cava, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV43Z] Insertion of Infusion Device into Superior Vena Cava, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV4DZ] Insertion of Intraluminal Device into Superior Vena Cava, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HV4YZ] Insertion of Other Device into Superior Vena Cava, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW00Z] Insertion of Pressure Sensor Monitoring Device into Thoracic Aorta, Descending, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW02Z] Insertion of Monitoring Device into Thoracic Aorta, Descending, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW03Z] Insertion of Infusion Device into Thoracic Aorta, Descending, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW0DZ] Insertion of Intraluminal Device into Thoracic Aorta, Descending, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW0YZ] Insertion of Other Device into Thoracic Aorta, Descending, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW30Z] Insertion of Pressure Sensor Monitoring Device into Thoracic Aorta, Descending, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW32Z] Insertion of Monitoring Device into Thoracic Aorta, Descending, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW33Z] Insertion of Infusion Device into Thoracic Aorta, Descending, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW3DZ] Insertion of Intraluminal Device into Thoracic Aorta, Descending, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW3RZ] Insertion of Short-term External Heart Assist System into Thoracic Aorta, Descending, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW3YZ] Insertion of Other Device into Thoracic Aorta, Descending, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW40Z] Insertion of Pressure Sensor Monitoring Device into Thoracic Aorta, Descending, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW42Z] Insertion of Monitoring Device into Thoracic Aorta, Descending, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW43Z] Insertion of Infusion Device into Thoracic Aorta, Descending, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW4DZ] Insertion of Intraluminal Device into Thoracic Aorta, Descending, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HW4YZ] Insertion of Other Device into Thoracic Aorta, Descending, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX00Z] Insertion of Pressure Sensor Monitoring Device into Thoracic Aorta, Ascending/Arch, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX02Z] Insertion of Monitoring Device into Thoracic Aorta, Ascending/Arch, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX03Z] Insertion of Infusion Device into Thoracic Aorta, Ascending/Arch, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX0DZ] Insertion of Intraluminal Device into Thoracic Aorta, Ascending/Arch, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX30Z] Insertion of Pressure Sensor Monitoring Device into Thoracic Aorta, Ascending/Arch, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX32Z] Insertion of Monitoring Device into Thoracic Aorta, Ascending/Arch, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX33Z] Insertion of Infusion Device into Thoracic Aorta, Ascending/Arch, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX3DZ] Insertion of Intraluminal Device into Thoracic Aorta, Ascending/Arch, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX40Z] Insertion of Pressure Sensor Monitoring Device into Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX42Z] Insertion of Monitoring Device into Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX43Z] Insertion of Infusion Device into Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02HX4DZ] Insertion of Intraluminal Device into Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[02J] Heart and Great Vessels, Inspection -- Visually and/or manually exploring a body part
[02JA0ZZ] Inspection of Heart, Open Approach -- Visually and/or manually exploring a body part
[02JA3ZZ] Inspection of Heart, Percutaneous Approach -- Visually and/or manually exploring a body part
[02JA4ZZ] Inspection of Heart, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[02JY0ZZ] Inspection of Great Vessel, Open Approach -- Visually and/or manually exploring a body part
[02JY3ZZ] Inspection of Great Vessel, Percutaneous Approach -- Visually and/or manually exploring a body part
[02JY4ZZ] Inspection of Great Vessel, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[02K] Heart and Great Vessels, Map -- Locating the route of passage of electrical impulses and/or locating functional areas in a body part
[02K80ZZ] Map Conduction Mechanism, Open Approach -- Locating the route of passage of electrical impulses and/or locating functional areas in a body part
[02K83ZZ] Map Conduction Mechanism, Percutaneous Approach -- Locating the route of passage of electrical impulses and/or locating functional areas in a body part
[02K84ZZ] Map Conduction Mechanism, Percutaneous Endoscopic Approach -- Locating the route of passage of electrical impulses and/or locating functional areas in a body part
[02L] Heart and Great Vessels, Occlusion -- Completely closing an orifice or the lumen of a tubular body part
[02L70CK] Occlusion of Left Atrial Appendage with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02L70DK] Occlusion of Left Atrial Appendage with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02L70ZK] Occlusion of Left Atrial Appendage, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02L73CK] Occlusion of Left Atrial Appendage with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02L73DK] Occlusion of Left Atrial Appendage with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02L73ZK] Occlusion of Left Atrial Appendage, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02L74CK] Occlusion of Left Atrial Appendage with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02L74DK] Occlusion of Left Atrial Appendage with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02L74ZK] Occlusion of Left Atrial Appendage, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LH0CZ] Occlusion of Pulmonary Valve with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LH0DZ] Occlusion of Pulmonary Valve with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LH0ZZ] Occlusion of Pulmonary Valve, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LH3CZ] Occlusion of Pulmonary Valve with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LH3DZ] Occlusion of Pulmonary Valve with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LH3ZZ] Occlusion of Pulmonary Valve, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LH4CZ] Occlusion of Pulmonary Valve with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LH4DZ] Occlusion of Pulmonary Valve with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LH4ZZ] Occlusion of Pulmonary Valve, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LP0CZ] Occlusion of Pulmonary Trunk with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LP0DZ] Occlusion of Pulmonary Trunk with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LP0ZZ] Occlusion of Pulmonary Trunk, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LP3CZ] Occlusion of Pulmonary Trunk with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LP3DZ] Occlusion of Pulmonary Trunk with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LP3ZZ] Occlusion of Pulmonary Trunk, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LP4CZ] Occlusion of Pulmonary Trunk with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LP4DZ] Occlusion of Pulmonary Trunk with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LP4ZZ] Occlusion of Pulmonary Trunk, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LQ0CZ] Occlusion of Right Pulmonary Artery with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LQ0DZ] Occlusion of Right Pulmonary Artery with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LQ0ZZ] Occlusion of Right Pulmonary Artery, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LQ3CZ] Occlusion of Right Pulmonary Artery with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LQ3DZ] Occlusion of Right Pulmonary Artery with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LQ3ZZ] Occlusion of Right Pulmonary Artery, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[02LQ4CZ] Occlusion of Right Pulmonary Artery with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
