[01] Peripheral Nervous System -- Body system (Peripheral Nervous System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[012] Peripheral Nervous System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YX0Z] Change Drainage Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YXYZ] Change Other Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[015] Peripheral Nervous System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01HY3MZ] Insertion of Neurostimulator Lead into Peripheral Nerve, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[01HY3YZ] Insertion of Other Device into Peripheral Nerve, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[01HY41Z] Insertion of Radioactive Element into Peripheral Nerve, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[01HY42Z] Insertion of Monitoring Device into Peripheral Nerve, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[01HY4MZ] Insertion of Neurostimulator Lead into Peripheral Nerve, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[01HY4YZ] Insertion of Other Device into Peripheral Nerve, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[01J] Peripheral Nervous System, Inspection -- Visually and/or manually exploring a body part
[01JY0ZZ] Inspection of Peripheral Nerve, Open Approach -- Visually and/or manually exploring a body part
[01JY3ZZ] Inspection of Peripheral Nerve, Percutaneous Approach -- Visually and/or manually exploring a body part
[01JY4ZZ] Inspection of Peripheral Nerve, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[01N] Peripheral Nervous System, Release -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N00ZZ] Release Cervical Plexus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N03ZZ] Release Cervical Plexus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N04ZZ] Release Cervical Plexus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N10ZZ] Release Cervical Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N13ZZ] Release Cervical Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N14ZZ] Release Cervical Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N20ZZ] Release Phrenic Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N23ZZ] Release Phrenic Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N24ZZ] Release Phrenic Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N30ZZ] Release Brachial Plexus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N33ZZ] Release Brachial Plexus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N34ZZ] Release Brachial Plexus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N40ZZ] Release Ulnar Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N43ZZ] Release Ulnar Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N44ZZ] Release Ulnar Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N50ZZ] Release Median Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N53ZZ] Release Median Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N54ZZ] Release Median Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N60ZZ] Release Radial Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N63ZZ] Release Radial Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N64ZZ] Release Radial Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N80ZZ] Release Thoracic Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N83ZZ] Release Thoracic Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N84ZZ] Release Thoracic Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N90ZZ] Release Lumbar Plexus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N93ZZ] Release Lumbar Plexus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01N94ZZ] Release Lumbar Plexus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NA0ZZ] Release Lumbosacral Plexus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NA3ZZ] Release Lumbosacral Plexus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NA4ZZ] Release Lumbosacral Plexus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NB0ZZ] Release Lumbar Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NB3ZZ] Release Lumbar Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NB4ZZ] Release Lumbar Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NC0ZZ] Release Pudendal Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NC3ZZ] Release Pudendal Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NC4ZZ] Release Pudendal Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01ND0ZZ] Release Femoral Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01ND3ZZ] Release Femoral Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01ND4ZZ] Release Femoral Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NF0ZZ] Release Sciatic Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NF3ZZ] Release Sciatic Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NF4ZZ] Release Sciatic Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NG0ZZ] Release Tibial Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NG3ZZ] Release Tibial Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NG4ZZ] Release Tibial Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NH0ZZ] Release Peroneal Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NH3ZZ] Release Peroneal Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NH4ZZ] Release Peroneal Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NK0ZZ] Release Head and Neck Sympathetic Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NK3ZZ] Release Head and Neck Sympathetic Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NK4ZZ] Release Head and Neck Sympathetic Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NL0ZZ] Release Thoracic Sympathetic Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NL3ZZ] Release Thoracic Sympathetic Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NL4ZZ] Release Thoracic Sympathetic Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NM0ZZ] Release Abdominal Sympathetic Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NM3ZZ] Release Abdominal Sympathetic Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NM4ZZ] Release Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NN0ZZ] Release Lumbar Sympathetic Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NN3ZZ] Release Lumbar Sympathetic Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NN4ZZ] Release Lumbar Sympathetic Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NP0ZZ] Release Sacral Sympathetic Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NP3ZZ] Release Sacral Sympathetic Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NP4ZZ] Release Sacral Sympathetic Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NQ0ZZ] Release Sacral Plexus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NQ3ZZ] Release Sacral Plexus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NQ4ZZ] Release Sacral Plexus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NR0ZZ] Release Sacral Nerve, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NR3ZZ] Release Sacral Nerve, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01NR4ZZ] Release Sacral Nerve, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[01P] Peripheral Nervous System, Removal -- Taking out or off a device from a body part
[01PY00Z] Removal of Drainage Device from Peripheral Nerve, Open Approach -- Taking out or off a device from a body part
[01PY02Z] Removal of Monitoring Device from Peripheral Nerve, Open Approach -- Taking out or off a device from a body part
[01PY07Z] Removal of Autologous Tissue Substitute from Peripheral Nerve, Open Approach -- Taking out or off a device from a body part
[01PY0MZ] Removal of Neurostimulator Lead from Peripheral Nerve, Open Approach -- Taking out or off a device from a body part
[01PY0YZ] Removal of Other Device from Peripheral Nerve, Open Approach -- Taking out or off a device from a body part
[01PY30Z] Removal of Drainage Device from Peripheral Nerve, Percutaneous Approach -- Taking out or off a device from a body part
[01PY32Z] Removal of Monitoring Device from Peripheral Nerve, Percutaneous Approach -- Taking out or off a device from a body part
[01PY37Z] Removal of Autologous Tissue Substitute from Peripheral Nerve, Percutaneous Approach -- Taking out or off a device from a body part
[01PY3MZ] Removal of Neurostimulator Lead from Peripheral Nerve, Percutaneous Approach -- Taking out or off a device from a body part
[01PY3YZ] Removal of Other Device from Peripheral Nerve, Percutaneous Approach -- Taking out or off a device from a body part
[01PY40Z] Removal of Drainage Device from Peripheral Nerve, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[01PY42Z] Removal of Monitoring Device from Peripheral Nerve, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[01PY47Z] Removal of Autologous Tissue Substitute from Peripheral Nerve, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[01PY4MZ] Removal of Neurostimulator Lead from Peripheral Nerve, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[01PY4YZ] Removal of Other Device from Peripheral Nerve, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[01PYX0Z] Removal of Drainage Device from Peripheral Nerve, External Approach -- Taking out or off a device from a body part
[01PYX2Z] Removal of Monitoring Device from Peripheral Nerve, External Approach -- Taking out or off a device from a body part
[01PYXMZ] Removal of Neurostimulator Lead from Peripheral Nerve, External Approach -- Taking out or off a device from a body part
[01Q] Peripheral Nervous System, Repair -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q00ZZ] Repair Cervical Plexus, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q03ZZ] Repair Cervical Plexus, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q04ZZ] Repair Cervical Plexus, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q10ZZ] Repair Cervical Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q13ZZ] Repair Cervical Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q14ZZ] Repair Cervical Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q20ZZ] Repair Phrenic Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q23ZZ] Repair Phrenic Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q24ZZ] Repair Phrenic Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q30ZZ] Repair Brachial Plexus, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q33ZZ] Repair Brachial Plexus, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q34ZZ] Repair Brachial Plexus, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q40ZZ] Repair Ulnar Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q43ZZ] Repair Ulnar Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q44ZZ] Repair Ulnar Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q50ZZ] Repair Median Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q53ZZ] Repair Median Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q54ZZ] Repair Median Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q60ZZ] Repair Radial Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q63ZZ] Repair Radial Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q64ZZ] Repair Radial Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q80ZZ] Repair Thoracic Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q83ZZ] Repair Thoracic Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q84ZZ] Repair Thoracic Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q90ZZ] Repair Lumbar Plexus, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q93ZZ] Repair Lumbar Plexus, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01Q94ZZ] Repair Lumbar Plexus, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QA0ZZ] Repair Lumbosacral Plexus, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QA3ZZ] Repair Lumbosacral Plexus, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QA4ZZ] Repair Lumbosacral Plexus, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QB0ZZ] Repair Lumbar Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QB3ZZ] Repair Lumbar Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QB4ZZ] Repair Lumbar Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QC0ZZ] Repair Pudendal Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QC3ZZ] Repair Pudendal Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QC4ZZ] Repair Pudendal Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QD0ZZ] Repair Femoral Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QD3ZZ] Repair Femoral Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QD4ZZ] Repair Femoral Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QF0ZZ] Repair Sciatic Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QF3ZZ] Repair Sciatic Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QF4ZZ] Repair Sciatic Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QG0ZZ] Repair Tibial Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QG3ZZ] Repair Tibial Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QG4ZZ] Repair Tibial Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QH0ZZ] Repair Peroneal Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QH3ZZ] Repair Peroneal Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QH4ZZ] Repair Peroneal Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QK0ZZ] Repair Head and Neck Sympathetic Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QK3ZZ] Repair Head and Neck Sympathetic Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QK4ZZ] Repair Head and Neck Sympathetic Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QL0ZZ] Repair Thoracic Sympathetic Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QL3ZZ] Repair Thoracic Sympathetic Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QL4ZZ] Repair Thoracic Sympathetic Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QM0ZZ] Repair Abdominal Sympathetic Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QM3ZZ] Repair Abdominal Sympathetic Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QM4ZZ] Repair Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QN0ZZ] Repair Lumbar Sympathetic Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QN3ZZ] Repair Lumbar Sympathetic Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QN4ZZ] Repair Lumbar Sympathetic Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QP0ZZ] Repair Sacral Sympathetic Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QP3ZZ] Repair Sacral Sympathetic Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QP4ZZ] Repair Sacral Sympathetic Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QQ0ZZ] Repair Sacral Plexus, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QQ3ZZ] Repair Sacral Plexus, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QQ4ZZ] Repair Sacral Plexus, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QR0ZZ] Repair Sacral Nerve, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QR3ZZ] Repair Sacral Nerve, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01QR4ZZ] Repair Sacral Nerve, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[01R] Peripheral Nervous System, Replacement -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R107Z] Replacement of Cervical Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R10JZ] Replacement of Cervical Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R10KZ] Replacement of Cervical Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R147Z] Replacement of Cervical Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R14JZ] Replacement of Cervical Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R14KZ] Replacement of Cervical Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R207Z] Replacement of Phrenic Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R20JZ] Replacement of Phrenic Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R20KZ] Replacement of Phrenic Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R247Z] Replacement of Phrenic Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R24JZ] Replacement of Phrenic Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R24KZ] Replacement of Phrenic Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R407Z] Replacement of Ulnar Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R40JZ] Replacement of Ulnar Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R40KZ] Replacement of Ulnar Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R447Z] Replacement of Ulnar Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R44JZ] Replacement of Ulnar Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R44KZ] Replacement of Ulnar Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R507Z] Replacement of Median Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R50JZ] Replacement of Median Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R50KZ] Replacement of Median Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R547Z] Replacement of Median Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R54JZ] Replacement of Median Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R54KZ] Replacement of Median Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R607Z] Replacement of Radial Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R60JZ] Replacement of Radial Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R60KZ] Replacement of Radial Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R647Z] Replacement of Radial Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R64JZ] Replacement of Radial Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R64KZ] Replacement of Radial Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R807Z] Replacement of Thoracic Nerve with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R80JZ] Replacement of Thoracic Nerve with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R80KZ] Replacement of Thoracic Nerve with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R847Z] Replacement of Thoracic Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R84JZ] Replacement of Thoracic Nerve with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[01R84KZ] Replacement of Thoracic Nerve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
