[0L] Tendons -- Body system (Tendons) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0L2] Tendons, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XX0Z] Change Drainage Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XXYZ] Change Other Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YX0Z] Change Drainage Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YXYZ] Change Other Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L5] Tendons, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0LNQXZZ] Release Right Knee Tendon, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNR0ZZ] Release Left Knee Tendon, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNR3ZZ] Release Left Knee Tendon, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNR4ZZ] Release Left Knee Tendon, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNRXZZ] Release Left Knee Tendon, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNS0ZZ] Release Right Ankle Tendon, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNS3ZZ] Release Right Ankle Tendon, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNS4ZZ] Release Right Ankle Tendon, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNSXZZ] Release Right Ankle Tendon, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNT0ZZ] Release Left Ankle Tendon, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNT3ZZ] Release Left Ankle Tendon, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNT4ZZ] Release Left Ankle Tendon, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNTXZZ] Release Left Ankle Tendon, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNV0ZZ] Release Right Foot Tendon, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNV3ZZ] Release Right Foot Tendon, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNV4ZZ] Release Right Foot Tendon, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNVXZZ] Release Right Foot Tendon, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNW0ZZ] Release Left Foot Tendon, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNW3ZZ] Release Left Foot Tendon, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNW4ZZ] Release Left Foot Tendon, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LNWXZZ] Release Left Foot Tendon, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0LP] Tendons, Removal -- Taking out or off a device from a body part
[0LPX00Z] Removal of Drainage Device from Upper Tendon, Open Approach -- Taking out or off a device from a body part
[0LPX07Z] Removal of Autologous Tissue Substitute from Upper Tendon, Open Approach -- Taking out or off a device from a body part
[0LPX0JZ] Removal of Synthetic Substitute from Upper Tendon, Open Approach -- Taking out or off a device from a body part
[0LPX0KZ] Removal of Nonautologous Tissue Substitute from Upper Tendon, Open Approach -- Taking out or off a device from a body part
[0LPX0YZ] Removal of Other Device from Upper Tendon, Open Approach -- Taking out or off a device from a body part
[0LPX30Z] Removal of Drainage Device from Upper Tendon, Percutaneous Approach -- Taking out or off a device from a body part
[0LPX37Z] Removal of Autologous Tissue Substitute from Upper Tendon, Percutaneous Approach -- Taking out or off a device from a body part
[0LPX3JZ] Removal of Synthetic Substitute from Upper Tendon, Percutaneous Approach -- Taking out or off a device from a body part
[0LPX3KZ] Removal of Nonautologous Tissue Substitute from Upper Tendon, Percutaneous Approach -- Taking out or off a device from a body part
[0LPX3YZ] Removal of Other Device from Upper Tendon, Percutaneous Approach -- Taking out or off a device from a body part
[0LPX40Z] Removal of Drainage Device from Upper Tendon, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0LPX47Z] Removal of Autologous Tissue Substitute from Upper Tendon, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0LPX4JZ] Removal of Synthetic Substitute from Upper Tendon, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0LPX4KZ] Removal of Nonautologous Tissue Substitute from Upper Tendon, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0LPX4YZ] Removal of Other Device from Upper Tendon, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0LPXX0Z] Removal of Drainage Device from Upper Tendon, External Approach -- Taking out or off a device from a body part
[0LPY00Z] Removal of Drainage Device from Lower Tendon, Open Approach -- Taking out or off a device from a body part
[0LPY07Z] Removal of Autologous Tissue Substitute from Lower Tendon, Open Approach -- Taking out or off a device from a body part
[0LPY0JZ] Removal of Synthetic Substitute from Lower Tendon, Open Approach -- Taking out or off a device from a body part
[0LPY0KZ] Removal of Nonautologous Tissue Substitute from Lower Tendon, Open Approach -- Taking out or off a device from a body part
[0LPY0YZ] Removal of Other Device from Lower Tendon, Open Approach -- Taking out or off a device from a body part
[0LPY30Z] Removal of Drainage Device from Lower Tendon, Percutaneous Approach -- Taking out or off a device from a body part
[0LPY37Z] Removal of Autologous Tissue Substitute from Lower Tendon, Percutaneous Approach -- Taking out or off a device from a body part
[0LPY3JZ] Removal of Synthetic Substitute from Lower Tendon, Percutaneous Approach -- Taking out or off a device from a body part
[0LPY3KZ] Removal of Nonautologous Tissue Substitute from Lower Tendon, Percutaneous Approach -- Taking out or off a device from a body part
[0LPY3YZ] Removal of Other Device from Lower Tendon, Percutaneous Approach -- Taking out or off a device from a body part
[0LPY40Z] Removal of Drainage Device from Lower Tendon, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0LPY47Z] Removal of Autologous Tissue Substitute from Lower Tendon, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0LPY4JZ] Removal of Synthetic Substitute from Lower Tendon, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0LPY4KZ] Removal of Nonautologous Tissue Substitute from Lower Tendon, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0LPY4YZ] Removal of Other Device from Lower Tendon, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0LPYX0Z] Removal of Drainage Device from Lower Tendon, External Approach -- Taking out or off a device from a body part
[0LQ] Tendons, Repair -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ00ZZ] Repair Head and Neck Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ03ZZ] Repair Head and Neck Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ04ZZ] Repair Head and Neck Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ10ZZ] Repair Right Shoulder Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ13ZZ] Repair Right Shoulder Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ14ZZ] Repair Right Shoulder Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ20ZZ] Repair Left Shoulder Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ23ZZ] Repair Left Shoulder Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ24ZZ] Repair Left Shoulder Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ30ZZ] Repair Right Upper Arm Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ33ZZ] Repair Right Upper Arm Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ34ZZ] Repair Right Upper Arm Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ40ZZ] Repair Left Upper Arm Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ43ZZ] Repair Left Upper Arm Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ44ZZ] Repair Left Upper Arm Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ50ZZ] Repair Right Lower Arm and Wrist Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ53ZZ] Repair Right Lower Arm and Wrist Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ54ZZ] Repair Right Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ60ZZ] Repair Left Lower Arm and Wrist Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ63ZZ] Repair Left Lower Arm and Wrist Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ64ZZ] Repair Left Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ70ZZ] Repair Right Hand Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ73ZZ] Repair Right Hand Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ74ZZ] Repair Right Hand Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ80ZZ] Repair Left Hand Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ83ZZ] Repair Left Hand Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ84ZZ] Repair Left Hand Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ90ZZ] Repair Right Trunk Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ93ZZ] Repair Right Trunk Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQ94ZZ] Repair Right Trunk Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQB0ZZ] Repair Left Trunk Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQB3ZZ] Repair Left Trunk Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQB4ZZ] Repair Left Trunk Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQC0ZZ] Repair Right Thorax Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQC3ZZ] Repair Right Thorax Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQC4ZZ] Repair Right Thorax Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQD0ZZ] Repair Left Thorax Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQD3ZZ] Repair Left Thorax Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQD4ZZ] Repair Left Thorax Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQF0ZZ] Repair Right Abdomen Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQF3ZZ] Repair Right Abdomen Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQF4ZZ] Repair Right Abdomen Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQG0ZZ] Repair Left Abdomen Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQG3ZZ] Repair Left Abdomen Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQG4ZZ] Repair Left Abdomen Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQH0ZZ] Repair Perineum Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQH3ZZ] Repair Perineum Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQH4ZZ] Repair Perineum Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQJ0ZZ] Repair Right Hip Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQJ3ZZ] Repair Right Hip Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQJ4ZZ] Repair Right Hip Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQK0ZZ] Repair Left Hip Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQK3ZZ] Repair Left Hip Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQK4ZZ] Repair Left Hip Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQL0ZZ] Repair Right Upper Leg Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQL3ZZ] Repair Right Upper Leg Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQL4ZZ] Repair Right Upper Leg Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQM0ZZ] Repair Left Upper Leg Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQM3ZZ] Repair Left Upper Leg Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQM4ZZ] Repair Left Upper Leg Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQN0ZZ] Repair Right Lower Leg Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQN3ZZ] Repair Right Lower Leg Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQN4ZZ] Repair Right Lower Leg Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQP0ZZ] Repair Left Lower Leg Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQP3ZZ] Repair Left Lower Leg Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQP4ZZ] Repair Left Lower Leg Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQQ0ZZ] Repair Right Knee Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQQ3ZZ] Repair Right Knee Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQQ4ZZ] Repair Right Knee Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQR0ZZ] Repair Left Knee Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQR3ZZ] Repair Left Knee Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQR4ZZ] Repair Left Knee Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQS0ZZ] Repair Right Ankle Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQS3ZZ] Repair Right Ankle Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQS4ZZ] Repair Right Ankle Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQT0ZZ] Repair Left Ankle Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQT3ZZ] Repair Left Ankle Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQT4ZZ] Repair Left Ankle Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQV0ZZ] Repair Right Foot Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQV3ZZ] Repair Right Foot Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQV4ZZ] Repair Right Foot Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQW0ZZ] Repair Left Foot Tendon, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQW3ZZ] Repair Left Foot Tendon, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LQW4ZZ] Repair Left Foot Tendon, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0LR] Tendons, Replacement -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR007Z] Replacement of Head and Neck Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR00JZ] Replacement of Head and Neck Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR00KZ] Replacement of Head and Neck Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR047Z] Replacement of Head and Neck Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR04JZ] Replacement of Head and Neck Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR04KZ] Replacement of Head and Neck Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR107Z] Replacement of Right Shoulder Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR10JZ] Replacement of Right Shoulder Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR10KZ] Replacement of Right Shoulder Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR147Z] Replacement of Right Shoulder Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR14JZ] Replacement of Right Shoulder Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR14KZ] Replacement of Right Shoulder Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR207Z] Replacement of Left Shoulder Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR20JZ] Replacement of Left Shoulder Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR20KZ] Replacement of Left Shoulder Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR247Z] Replacement of Left Shoulder Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR24JZ] Replacement of Left Shoulder Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR24KZ] Replacement of Left Shoulder Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR307Z] Replacement of Right Upper Arm Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR30JZ] Replacement of Right Upper Arm Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR30KZ] Replacement of Right Upper Arm Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR347Z] Replacement of Right Upper Arm Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR34JZ] Replacement of Right Upper Arm Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR34KZ] Replacement of Right Upper Arm Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR407Z] Replacement of Left Upper Arm Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR40JZ] Replacement of Left Upper Arm Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR40KZ] Replacement of Left Upper Arm Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR447Z] Replacement of Left Upper Arm Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR44JZ] Replacement of Left Upper Arm Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR44KZ] Replacement of Left Upper Arm Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR507Z] Replacement of Right Lower Arm and Wrist Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR50JZ] Replacement of Right Lower Arm and Wrist Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR50KZ] Replacement of Right Lower Arm and Wrist Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR547Z] Replacement of Right Lower Arm and Wrist Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR54JZ] Replacement of Right Lower Arm and Wrist Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR54KZ] Replacement of Right Lower Arm and Wrist Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR607Z] Replacement of Left Lower Arm and Wrist Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR60JZ] Replacement of Left Lower Arm and Wrist Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR60KZ] Replacement of Left Lower Arm and Wrist Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR647Z] Replacement of Left Lower Arm and Wrist Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR64JZ] Replacement of Left Lower Arm and Wrist Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR64KZ] Replacement of Left Lower Arm and Wrist Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR707Z] Replacement of Right Hand Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR70JZ] Replacement of Right Hand Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR70KZ] Replacement of Right Hand Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR747Z] Replacement of Right Hand Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR74JZ] Replacement of Right Hand Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR74KZ] Replacement of Right Hand Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR807Z] Replacement of Left Hand Tendon with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR80JZ] Replacement of Left Hand Tendon with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR80KZ] Replacement of Left Hand Tendon with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR847Z] Replacement of Left Hand Tendon with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR84JZ] Replacement of Left Hand Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0LR84KZ] Replacement of Left Hand Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
