[0B] Respiratory System -- Body system (Respiratory System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0B1] Respiratory System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0B110D6] Bypass Trachea to Esophagus with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110Z4] Bypass Trachea to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B113F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B113Z4] Bypass Trachea to Cutaneous, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B114F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B114Z4] Bypass Trachea to Cutaneous, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B2] Respiratory System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20X0Z] Change Drainage Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20XYZ] Change Other Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21X0Z] Change Drainage Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XEZ] Change Endotracheal Airway in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XFZ] Change Tracheostomy Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XYZ] Change Other Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KX0Z] Change Drainage Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KXYZ] Change Other Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LX0Z] Change Drainage Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LXYZ] Change Other Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QX0Z] Change Drainage Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QXYZ] Change Other Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TX0Z] Change Drainage Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TXYZ] Change Other Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B5] Respiratory System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0BL43CZ] Occlusion of Right Upper Lobe Bronchus with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL43DZ] Occlusion of Right Upper Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL43ZZ] Occlusion of Right Upper Lobe Bronchus, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL44CZ] Occlusion of Right Upper Lobe Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL44DZ] Occlusion of Right Upper Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL44ZZ] Occlusion of Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL47DZ] Occlusion of Right Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL47ZZ] Occlusion of Right Upper Lobe Bronchus, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL48DZ] Occlusion of Right Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BL48ZZ] Occlusion of Right Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BL50CZ] Occlusion of Right Middle Lobe Bronchus with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL50DZ] Occlusion of Right Middle Lobe Bronchus with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL50ZZ] Occlusion of Right Middle Lobe Bronchus, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL53CZ] Occlusion of Right Middle Lobe Bronchus with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL53DZ] Occlusion of Right Middle Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL53ZZ] Occlusion of Right Middle Lobe Bronchus, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL54CZ] Occlusion of Right Middle Lobe Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL54DZ] Occlusion of Right Middle Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL54ZZ] Occlusion of Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL57DZ] Occlusion of Right Middle Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL57ZZ] Occlusion of Right Middle Lobe Bronchus, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL58DZ] Occlusion of Right Middle Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BL58ZZ] Occlusion of Right Middle Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BL60CZ] Occlusion of Right Lower Lobe Bronchus with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL60DZ] Occlusion of Right Lower Lobe Bronchus with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL60ZZ] Occlusion of Right Lower Lobe Bronchus, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL63CZ] Occlusion of Right Lower Lobe Bronchus with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL63DZ] Occlusion of Right Lower Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL63ZZ] Occlusion of Right Lower Lobe Bronchus, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL64CZ] Occlusion of Right Lower Lobe Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL64DZ] Occlusion of Right Lower Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL64ZZ] Occlusion of Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL67DZ] Occlusion of Right Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL67ZZ] Occlusion of Right Lower Lobe Bronchus, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL68DZ] Occlusion of Right Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BL68ZZ] Occlusion of Right Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BL70CZ] Occlusion of Left Main Bronchus with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL70DZ] Occlusion of Left Main Bronchus with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL70ZZ] Occlusion of Left Main Bronchus, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL73CZ] Occlusion of Left Main Bronchus with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL73DZ] Occlusion of Left Main Bronchus with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL73ZZ] Occlusion of Left Main Bronchus, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL74CZ] Occlusion of Left Main Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL74DZ] Occlusion of Left Main Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL74ZZ] Occlusion of Left Main Bronchus, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL77DZ] Occlusion of Left Main Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL77ZZ] Occlusion of Left Main Bronchus, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL78DZ] Occlusion of Left Main Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BL78ZZ] Occlusion of Left Main Bronchus, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BL80CZ] Occlusion of Left Upper Lobe Bronchus with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL80DZ] Occlusion of Left Upper Lobe Bronchus with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL80ZZ] Occlusion of Left Upper Lobe Bronchus, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL83CZ] Occlusion of Left Upper Lobe Bronchus with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL83DZ] Occlusion of Left Upper Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL83ZZ] Occlusion of Left Upper Lobe Bronchus, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL84CZ] Occlusion of Left Upper Lobe Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL84DZ] Occlusion of Left Upper Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL84ZZ] Occlusion of Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL87DZ] Occlusion of Left Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL87ZZ] Occlusion of Left Upper Lobe Bronchus, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL88DZ] Occlusion of Left Upper Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BL88ZZ] Occlusion of Left Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BL90CZ] Occlusion of Lingula Bronchus with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL90DZ] Occlusion of Lingula Bronchus with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL90ZZ] Occlusion of Lingula Bronchus, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL93CZ] Occlusion of Lingula Bronchus with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL93DZ] Occlusion of Lingula Bronchus with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL93ZZ] Occlusion of Lingula Bronchus, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL94CZ] Occlusion of Lingula Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL94DZ] Occlusion of Lingula Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL94ZZ] Occlusion of Lingula Bronchus, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BL97DZ] Occlusion of Lingula Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL97ZZ] Occlusion of Lingula Bronchus, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BL98DZ] Occlusion of Lingula Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BL98ZZ] Occlusion of Lingula Bronchus, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BLB0CZ] Occlusion of Left Lower Lobe Bronchus with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BLB0DZ] Occlusion of Left Lower Lobe Bronchus with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BLB0ZZ] Occlusion of Left Lower Lobe Bronchus, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BLB3CZ] Occlusion of Left Lower Lobe Bronchus with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BLB3DZ] Occlusion of Left Lower Lobe Bronchus with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BLB3ZZ] Occlusion of Left Lower Lobe Bronchus, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BLB4CZ] Occlusion of Left Lower Lobe Bronchus with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BLB4DZ] Occlusion of Left Lower Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BLB4ZZ] Occlusion of Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0BLB7DZ] Occlusion of Left Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BLB7ZZ] Occlusion of Left Lower Lobe Bronchus, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0BLB8DZ] Occlusion of Left Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BLB8ZZ] Occlusion of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0BM] Respiratory System, Reattachment -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BM10ZZ] Reattachment of Trachea, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BM20ZZ] Reattachment of Carina, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BM30ZZ] Reattachment of Right Main Bronchus, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BM40ZZ] Reattachment of Right Upper Lobe Bronchus, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BM50ZZ] Reattachment of Right Middle Lobe Bronchus, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BM60ZZ] Reattachment of Right Lower Lobe Bronchus, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BM70ZZ] Reattachment of Left Main Bronchus, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BM80ZZ] Reattachment of Left Upper Lobe Bronchus, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BM90ZZ] Reattachment of Lingula Bronchus, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BMB0ZZ] Reattachment of Left Lower Lobe Bronchus, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BMC0ZZ] Reattachment of Right Upper Lung Lobe, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BMD0ZZ] Reattachment of Right Middle Lung Lobe, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BMF0ZZ] Reattachment of Right Lower Lung Lobe, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BMG0ZZ] Reattachment of Left Upper Lung Lobe, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BMH0ZZ] Reattachment of Lung Lingula, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BMJ0ZZ] Reattachment of Left Lower Lung Lobe, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BMK0ZZ] Reattachment of Right Lung, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BML0ZZ] Reattachment of Left Lung, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BMT0ZZ] Reattachment of Diaphragm, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0BN] Respiratory System, Release -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN10ZZ] Release Trachea, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN13ZZ] Release Trachea, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN14ZZ] Release Trachea, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN17ZZ] Release Trachea, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN18ZZ] Release Trachea, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN20ZZ] Release Carina, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN23ZZ] Release Carina, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN24ZZ] Release Carina, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN27ZZ] Release Carina, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN28ZZ] Release Carina, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN30ZZ] Release Right Main Bronchus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN33ZZ] Release Right Main Bronchus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN34ZZ] Release Right Main Bronchus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN37ZZ] Release Right Main Bronchus, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN38ZZ] Release Right Main Bronchus, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN40ZZ] Release Right Upper Lobe Bronchus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN43ZZ] Release Right Upper Lobe Bronchus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN44ZZ] Release Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN47ZZ] Release Right Upper Lobe Bronchus, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN48ZZ] Release Right Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN50ZZ] Release Right Middle Lobe Bronchus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN53ZZ] Release Right Middle Lobe Bronchus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN54ZZ] Release Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN57ZZ] Release Right Middle Lobe Bronchus, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN58ZZ] Release Right Middle Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN60ZZ] Release Right Lower Lobe Bronchus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN63ZZ] Release Right Lower Lobe Bronchus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN64ZZ] Release Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN67ZZ] Release Right Lower Lobe Bronchus, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN68ZZ] Release Right Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN70ZZ] Release Left Main Bronchus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN73ZZ] Release Left Main Bronchus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN74ZZ] Release Left Main Bronchus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN77ZZ] Release Left Main Bronchus, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN78ZZ] Release Left Main Bronchus, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN80ZZ] Release Left Upper Lobe Bronchus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN83ZZ] Release Left Upper Lobe Bronchus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN84ZZ] Release Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN87ZZ] Release Left Upper Lobe Bronchus, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN88ZZ] Release Left Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN90ZZ] Release Lingula Bronchus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN93ZZ] Release Lingula Bronchus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN94ZZ] Release Lingula Bronchus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN97ZZ] Release Lingula Bronchus, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BN98ZZ] Release Lingula Bronchus, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNB0ZZ] Release Left Lower Lobe Bronchus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNB3ZZ] Release Left Lower Lobe Bronchus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNB4ZZ] Release Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNB7ZZ] Release Left Lower Lobe Bronchus, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNB8ZZ] Release Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNC0ZZ] Release Right Upper Lung Lobe, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNC3ZZ] Release Right Upper Lung Lobe, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNC4ZZ] Release Right Upper Lung Lobe, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNC7ZZ] Release Right Upper Lung Lobe, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNC8ZZ] Release Right Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BND0ZZ] Release Right Middle Lung Lobe, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BND3ZZ] Release Right Middle Lung Lobe, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BND4ZZ] Release Right Middle Lung Lobe, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BND7ZZ] Release Right Middle Lung Lobe, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BND8ZZ] Release Right Middle Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNF0ZZ] Release Right Lower Lung Lobe, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNF3ZZ] Release Right Lower Lung Lobe, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNF4ZZ] Release Right Lower Lung Lobe, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNF7ZZ] Release Right Lower Lung Lobe, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNF8ZZ] Release Right Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNG0ZZ] Release Left Upper Lung Lobe, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNG3ZZ] Release Left Upper Lung Lobe, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNG4ZZ] Release Left Upper Lung Lobe, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0BNG7ZZ] Release Left Upper Lung Lobe, Via Natural or Artificial Opening -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
