[0N] Head and Facial Bones -- Body system (Head and Facial Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0N2] Head and Facial Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20X0Z] Change Drainage Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20XYZ] Change Other Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BX0Z] Change Drainage Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BXYZ] Change Other Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WX0Z] Change Drainage Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WXYZ] Change Other Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N5] Head and Facial Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0NR507Z] Replacement of Right Temporal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR50JZ] Replacement of Right Temporal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR50KZ] Replacement of Right Temporal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR537Z] Replacement of Right Temporal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR53JZ] Replacement of Right Temporal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR53KZ] Replacement of Right Temporal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR547Z] Replacement of Right Temporal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR54JZ] Replacement of Right Temporal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR54KZ] Replacement of Right Temporal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR607Z] Replacement of Left Temporal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR60JZ] Replacement of Left Temporal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR60KZ] Replacement of Left Temporal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR637Z] Replacement of Left Temporal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR63JZ] Replacement of Left Temporal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR63KZ] Replacement of Left Temporal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR647Z] Replacement of Left Temporal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR64JZ] Replacement of Left Temporal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR64KZ] Replacement of Left Temporal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR707Z] Replacement of Occipital Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR70JZ] Replacement of Occipital Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR70KZ] Replacement of Occipital Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR737Z] Replacement of Occipital Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR73JZ] Replacement of Occipital Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR73KZ] Replacement of Occipital Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR747Z] Replacement of Occipital Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR74JZ] Replacement of Occipital Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NR74KZ] Replacement of Occipital Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRB07Z] Replacement of Nasal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRB0JZ] Replacement of Nasal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRB0KZ] Replacement of Nasal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRB37Z] Replacement of Nasal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRB3JZ] Replacement of Nasal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRB3KZ] Replacement of Nasal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRB47Z] Replacement of Nasal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRB4JZ] Replacement of Nasal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRB4KZ] Replacement of Nasal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRC07Z] Replacement of Sphenoid Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRC0JZ] Replacement of Sphenoid Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRC0KZ] Replacement of Sphenoid Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRC37Z] Replacement of Sphenoid Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRC3JZ] Replacement of Sphenoid Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRC3KZ] Replacement of Sphenoid Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRC47Z] Replacement of Sphenoid Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRC4JZ] Replacement of Sphenoid Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRC4KZ] Replacement of Sphenoid Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRF07Z] Replacement of Right Ethmoid Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRF0JZ] Replacement of Right Ethmoid Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRF0KZ] Replacement of Right Ethmoid Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRF37Z] Replacement of Right Ethmoid Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRF3JZ] Replacement of Right Ethmoid Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRF3KZ] Replacement of Right Ethmoid Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRF47Z] Replacement of Right Ethmoid Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRF4JZ] Replacement of Right Ethmoid Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRF4KZ] Replacement of Right Ethmoid Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRG07Z] Replacement of Left Ethmoid Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRG0JZ] Replacement of Left Ethmoid Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRG0KZ] Replacement of Left Ethmoid Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRG37Z] Replacement of Left Ethmoid Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRG3JZ] Replacement of Left Ethmoid Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRG3KZ] Replacement of Left Ethmoid Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRG47Z] Replacement of Left Ethmoid Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRG4JZ] Replacement of Left Ethmoid Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRG4KZ] Replacement of Left Ethmoid Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRH07Z] Replacement of Right Lacrimal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRH0JZ] Replacement of Right Lacrimal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRH0KZ] Replacement of Right Lacrimal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRH37Z] Replacement of Right Lacrimal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRH3JZ] Replacement of Right Lacrimal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRH3KZ] Replacement of Right Lacrimal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRH47Z] Replacement of Right Lacrimal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRH4JZ] Replacement of Right Lacrimal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRH4KZ] Replacement of Right Lacrimal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRJ07Z] Replacement of Left Lacrimal Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRJ0JZ] Replacement of Left Lacrimal Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRJ0KZ] Replacement of Left Lacrimal Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRJ37Z] Replacement of Left Lacrimal Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRJ3JZ] Replacement of Left Lacrimal Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRJ3KZ] Replacement of Left Lacrimal Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRJ47Z] Replacement of Left Lacrimal Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRJ4JZ] Replacement of Left Lacrimal Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRJ4KZ] Replacement of Left Lacrimal Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRK07Z] Replacement of Right Palatine Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRK0JZ] Replacement of Right Palatine Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRK0KZ] Replacement of Right Palatine Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRK37Z] Replacement of Right Palatine Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRK3JZ] Replacement of Right Palatine Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRK3KZ] Replacement of Right Palatine Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRK47Z] Replacement of Right Palatine Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRK4JZ] Replacement of Right Palatine Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRK4KZ] Replacement of Right Palatine Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRL07Z] Replacement of Left Palatine Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRL0JZ] Replacement of Left Palatine Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRL0KZ] Replacement of Left Palatine Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRL37Z] Replacement of Left Palatine Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRL3JZ] Replacement of Left Palatine Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRL3KZ] Replacement of Left Palatine Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRL47Z] Replacement of Left Palatine Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRL4JZ] Replacement of Left Palatine Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRL4KZ] Replacement of Left Palatine Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRM07Z] Replacement of Right Zygomatic Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRM0JZ] Replacement of Right Zygomatic Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRM0KZ] Replacement of Right Zygomatic Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRM37Z] Replacement of Right Zygomatic Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRM3JZ] Replacement of Right Zygomatic Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRM3KZ] Replacement of Right Zygomatic Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRM47Z] Replacement of Right Zygomatic Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRM4JZ] Replacement of Right Zygomatic Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRM4KZ] Replacement of Right Zygomatic Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRN07Z] Replacement of Left Zygomatic Bone with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRN0JZ] Replacement of Left Zygomatic Bone with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRN0KZ] Replacement of Left Zygomatic Bone with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRN37Z] Replacement of Left Zygomatic Bone with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRN3JZ] Replacement of Left Zygomatic Bone with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRN3KZ] Replacement of Left Zygomatic Bone with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRN47Z] Replacement of Left Zygomatic Bone with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRN4JZ] Replacement of Left Zygomatic Bone with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRN4KZ] Replacement of Left Zygomatic Bone with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRP07Z] Replacement of Right Orbit with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRP0JZ] Replacement of Right Orbit with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRP0KZ] Replacement of Right Orbit with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRP37Z] Replacement of Right Orbit with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRP3JZ] Replacement of Right Orbit with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRP3KZ] Replacement of Right Orbit with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRP47Z] Replacement of Right Orbit with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRP4JZ] Replacement of Right Orbit with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRP4KZ] Replacement of Right Orbit with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRQ07Z] Replacement of Left Orbit with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRQ0JZ] Replacement of Left Orbit with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRQ0KZ] Replacement of Left Orbit with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRQ37Z] Replacement of Left Orbit with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRQ3JZ] Replacement of Left Orbit with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRQ3KZ] Replacement of Left Orbit with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRQ47Z] Replacement of Left Orbit with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRQ4JZ] Replacement of Left Orbit with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRQ4KZ] Replacement of Left Orbit with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRR07Z] Replacement of Maxilla with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRR0JZ] Replacement of Maxilla with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRR0KZ] Replacement of Maxilla with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRR37Z] Replacement of Maxilla with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRR3JZ] Replacement of Maxilla with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRR3KZ] Replacement of Maxilla with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRR47Z] Replacement of Maxilla with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRR4JZ] Replacement of Maxilla with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRR4KZ] Replacement of Maxilla with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRT07Z] Replacement of Right Mandible with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRT0JZ] Replacement of Right Mandible with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRT0KZ] Replacement of Right Mandible with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRT37Z] Replacement of Right Mandible with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRT3JZ] Replacement of Right Mandible with Synthetic Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRT3KZ] Replacement of Right Mandible with Nonautologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRT47Z] Replacement of Right Mandible with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRT4JZ] Replacement of Right Mandible with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRT4KZ] Replacement of Right Mandible with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRV07Z] Replacement of Left Mandible with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRV0JZ] Replacement of Left Mandible with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRV0KZ] Replacement of Left Mandible with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0NRV37Z] Replacement of Left Mandible with Autologous Tissue Substitute, Percutaneous Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
