[0F] Hepatobiliary System and Pancreas -- Body system (Hepatobiliary System and Pancreas) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0F1] Hepatobiliary System and Pancreas, Bypass -- Altering the route of passage of the contents of a tubular body part
[0FHD02Z] Insertion of Monitoring Device into Pancreatic Duct, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD03Z] Insertion of Infusion Device into Pancreatic Duct, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD0DZ] Insertion of Intraluminal Device into Pancreatic Duct, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD0YZ] Insertion of Other Device into Pancreatic Duct, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD31Z] Insertion of Radioactive Element into Pancreatic Duct, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD32Z] Insertion of Monitoring Device into Pancreatic Duct, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD33Z] Insertion of Infusion Device into Pancreatic Duct, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD3DZ] Insertion of Intraluminal Device into Pancreatic Duct, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD3YZ] Insertion of Other Device into Pancreatic Duct, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD41Z] Insertion of Radioactive Element into Pancreatic Duct, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD42Z] Insertion of Monitoring Device into Pancreatic Duct, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD43Z] Insertion of Infusion Device into Pancreatic Duct, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD4DZ] Insertion of Intraluminal Device into Pancreatic Duct, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD4YZ] Insertion of Other Device into Pancreatic Duct, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD71Z] Insertion of Radioactive Element into Pancreatic Duct, Via Natural or Artificial Opening -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD72Z] Insertion of Monitoring Device into Pancreatic Duct, Via Natural or Artificial Opening -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD73Z] Insertion of Infusion Device into Pancreatic Duct, Via Natural or Artificial Opening -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD7DZ] Insertion of Intraluminal Device into Pancreatic Duct, Via Natural or Artificial Opening -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD7YZ] Insertion of Other Device into Pancreatic Duct, Via Natural or Artificial Opening -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD81Z] Insertion of Radioactive Element into Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD82Z] Insertion of Monitoring Device into Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD83Z] Insertion of Infusion Device into Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD8DZ] Insertion of Intraluminal Device into Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHD8YZ] Insertion of Other Device into Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG01Z] Insertion of Radioactive Element into Pancreas, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG02Z] Insertion of Monitoring Device into Pancreas, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG03Z] Insertion of Infusion Device into Pancreas, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG0YZ] Insertion of Other Device into Pancreas, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG31Z] Insertion of Radioactive Element into Pancreas, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG32Z] Insertion of Monitoring Device into Pancreas, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG33Z] Insertion of Infusion Device into Pancreas, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG3YZ] Insertion of Other Device into Pancreas, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG41Z] Insertion of Radioactive Element into Pancreas, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG42Z] Insertion of Monitoring Device into Pancreas, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG43Z] Insertion of Infusion Device into Pancreas, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FHG4YZ] Insertion of Other Device into Pancreas, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0FJ] Hepatobiliary System and Pancreas, Inspection -- Visually and/or manually exploring a body part
[0FJ00ZZ] Inspection of Liver, Open Approach -- Visually and/or manually exploring a body part
[0FJ03ZZ] Inspection of Liver, Percutaneous Approach -- Visually and/or manually exploring a body part
[0FJ04ZZ] Inspection of Liver, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0FJ0XZZ] Inspection of Liver, External Approach -- Visually and/or manually exploring a body part
[0FJ40ZZ] Inspection of Gallbladder, Open Approach -- Visually and/or manually exploring a body part
[0FJ43ZZ] Inspection of Gallbladder, Percutaneous Approach -- Visually and/or manually exploring a body part
[0FJ44ZZ] Inspection of Gallbladder, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0FJ48ZZ] Inspection of Gallbladder, Via Natural or Artificial Opening Endoscopic -- Visually and/or manually exploring a body part
[0FJ4XZZ] Inspection of Gallbladder, External Approach -- Visually and/or manually exploring a body part
[0FJB0ZZ] Inspection of Hepatobiliary Duct, Open Approach -- Visually and/or manually exploring a body part
[0FJB3ZZ] Inspection of Hepatobiliary Duct, Percutaneous Approach -- Visually and/or manually exploring a body part
[0FJB4ZZ] Inspection of Hepatobiliary Duct, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0FJB7ZZ] Inspection of Hepatobiliary Duct, Via Natural or Artificial Opening -- Visually and/or manually exploring a body part
[0FJB8ZZ] Inspection of Hepatobiliary Duct, Via Natural or Artificial Opening Endoscopic -- Visually and/or manually exploring a body part
[0FJD0ZZ] Inspection of Pancreatic Duct, Open Approach -- Visually and/or manually exploring a body part
[0FJD3ZZ] Inspection of Pancreatic Duct, Percutaneous Approach -- Visually and/or manually exploring a body part
[0FJD4ZZ] Inspection of Pancreatic Duct, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0FJD7ZZ] Inspection of Pancreatic Duct, Via Natural or Artificial Opening -- Visually and/or manually exploring a body part
[0FJD8ZZ] Inspection of Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Visually and/or manually exploring a body part
[0FJG0ZZ] Inspection of Pancreas, Open Approach -- Visually and/or manually exploring a body part
[0FJG3ZZ] Inspection of Pancreas, Percutaneous Approach -- Visually and/or manually exploring a body part
[0FJG4ZZ] Inspection of Pancreas, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0FJG8ZZ] Inspection of Pancreas, Via Natural or Artificial Opening Endoscopic -- Visually and/or manually exploring a body part
[0FJGXZZ] Inspection of Pancreas, External Approach -- Visually and/or manually exploring a body part
[0FL] Hepatobiliary System and Pancreas, Occlusion -- Completely closing an orifice or the lumen of a tubular body part
[0FL50CZ] Occlusion of Right Hepatic Duct with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL50DZ] Occlusion of Right Hepatic Duct with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL50ZZ] Occlusion of Right Hepatic Duct, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL53CZ] Occlusion of Right Hepatic Duct with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL53DZ] Occlusion of Right Hepatic Duct with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL53ZZ] Occlusion of Right Hepatic Duct, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL54CZ] Occlusion of Right Hepatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL54DZ] Occlusion of Right Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL54ZZ] Occlusion of Right Hepatic Duct, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL57DZ] Occlusion of Right Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FL57ZZ] Occlusion of Right Hepatic Duct, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FL58DZ] Occlusion of Right Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FL58ZZ] Occlusion of Right Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FL60CZ] Occlusion of Left Hepatic Duct with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL60DZ] Occlusion of Left Hepatic Duct with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL60ZZ] Occlusion of Left Hepatic Duct, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL63CZ] Occlusion of Left Hepatic Duct with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL63DZ] Occlusion of Left Hepatic Duct with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL63ZZ] Occlusion of Left Hepatic Duct, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL64CZ] Occlusion of Left Hepatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL64DZ] Occlusion of Left Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL64ZZ] Occlusion of Left Hepatic Duct, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL67DZ] Occlusion of Left Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FL67ZZ] Occlusion of Left Hepatic Duct, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FL68DZ] Occlusion of Left Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FL68ZZ] Occlusion of Left Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FL70CZ] Occlusion of Common Hepatic Duct with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL70DZ] Occlusion of Common Hepatic Duct with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL70ZZ] Occlusion of Common Hepatic Duct, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL73CZ] Occlusion of Common Hepatic Duct with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL73DZ] Occlusion of Common Hepatic Duct with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL73ZZ] Occlusion of Common Hepatic Duct, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL74CZ] Occlusion of Common Hepatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL74DZ] Occlusion of Common Hepatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL74ZZ] Occlusion of Common Hepatic Duct, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL77DZ] Occlusion of Common Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FL77ZZ] Occlusion of Common Hepatic Duct, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FL78DZ] Occlusion of Common Hepatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FL78ZZ] Occlusion of Common Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FL80CZ] Occlusion of Cystic Duct with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL80DZ] Occlusion of Cystic Duct with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL80ZZ] Occlusion of Cystic Duct, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL83CZ] Occlusion of Cystic Duct with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL83DZ] Occlusion of Cystic Duct with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL83ZZ] Occlusion of Cystic Duct, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL84CZ] Occlusion of Cystic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL84DZ] Occlusion of Cystic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL84ZZ] Occlusion of Cystic Duct, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL87DZ] Occlusion of Cystic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FL87ZZ] Occlusion of Cystic Duct, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FL88DZ] Occlusion of Cystic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FL88ZZ] Occlusion of Cystic Duct, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FL90CZ] Occlusion of Common Bile Duct with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL90DZ] Occlusion of Common Bile Duct with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL90ZZ] Occlusion of Common Bile Duct, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL93CZ] Occlusion of Common Bile Duct with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL93DZ] Occlusion of Common Bile Duct with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL93ZZ] Occlusion of Common Bile Duct, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL94CZ] Occlusion of Common Bile Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL94DZ] Occlusion of Common Bile Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL94ZZ] Occlusion of Common Bile Duct, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FL97DZ] Occlusion of Common Bile Duct with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FL97ZZ] Occlusion of Common Bile Duct, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FL98DZ] Occlusion of Common Bile Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FL98ZZ] Occlusion of Common Bile Duct, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FLC0CZ] Occlusion of Ampulla of Vater with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLC0DZ] Occlusion of Ampulla of Vater with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLC0ZZ] Occlusion of Ampulla of Vater, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLC3CZ] Occlusion of Ampulla of Vater with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLC3DZ] Occlusion of Ampulla of Vater with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLC3ZZ] Occlusion of Ampulla of Vater, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLC4CZ] Occlusion of Ampulla of Vater with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLC4DZ] Occlusion of Ampulla of Vater with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLC4ZZ] Occlusion of Ampulla of Vater, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLC7DZ] Occlusion of Ampulla of Vater with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FLC7ZZ] Occlusion of Ampulla of Vater, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FLC8DZ] Occlusion of Ampulla of Vater with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FLC8ZZ] Occlusion of Ampulla of Vater, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FLD0CZ] Occlusion of Pancreatic Duct with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLD0DZ] Occlusion of Pancreatic Duct with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLD0ZZ] Occlusion of Pancreatic Duct, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLD3CZ] Occlusion of Pancreatic Duct with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLD3DZ] Occlusion of Pancreatic Duct with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLD3ZZ] Occlusion of Pancreatic Duct, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLD4CZ] Occlusion of Pancreatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLD4DZ] Occlusion of Pancreatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLD4ZZ] Occlusion of Pancreatic Duct, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLD7DZ] Occlusion of Pancreatic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FLD7ZZ] Occlusion of Pancreatic Duct, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FLD8DZ] Occlusion of Pancreatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FLD8ZZ] Occlusion of Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FLF0CZ] Occlusion of Accessory Pancreatic Duct with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLF0DZ] Occlusion of Accessory Pancreatic Duct with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLF0ZZ] Occlusion of Accessory Pancreatic Duct, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLF3CZ] Occlusion of Accessory Pancreatic Duct with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLF3DZ] Occlusion of Accessory Pancreatic Duct with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLF3ZZ] Occlusion of Accessory Pancreatic Duct, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLF4CZ] Occlusion of Accessory Pancreatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLF4DZ] Occlusion of Accessory Pancreatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLF4ZZ] Occlusion of Accessory Pancreatic Duct, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[0FLF7DZ] Occlusion of Accessory Pancreatic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FLF7ZZ] Occlusion of Accessory Pancreatic Duct, Via Natural or Artificial Opening -- Completely closing an orifice or the lumen of a tubular body part
[0FLF8DZ] Occlusion of Accessory Pancreatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FLF8ZZ] Occlusion of Accessory Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Completely closing an orifice or the lumen of a tubular body part
[0FM] Hepatobiliary System and Pancreas, Reattachment -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM00ZZ] Reattachment of Liver, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM04ZZ] Reattachment of Liver, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM10ZZ] Reattachment of Right Lobe Liver, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM14ZZ] Reattachment of Right Lobe Liver, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM20ZZ] Reattachment of Left Lobe Liver, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM24ZZ] Reattachment of Left Lobe Liver, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM40ZZ] Reattachment of Gallbladder, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM44ZZ] Reattachment of Gallbladder, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM50ZZ] Reattachment of Right Hepatic Duct, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM54ZZ] Reattachment of Right Hepatic Duct, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM60ZZ] Reattachment of Left Hepatic Duct, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM64ZZ] Reattachment of Left Hepatic Duct, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM70ZZ] Reattachment of Common Hepatic Duct, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM74ZZ] Reattachment of Common Hepatic Duct, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM80ZZ] Reattachment of Cystic Duct, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM84ZZ] Reattachment of Cystic Duct, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM90ZZ] Reattachment of Common Bile Duct, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FM94ZZ] Reattachment of Common Bile Duct, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FMC0ZZ] Reattachment of Ampulla of Vater, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FMC4ZZ] Reattachment of Ampulla of Vater, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FMD0ZZ] Reattachment of Pancreatic Duct, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FMD4ZZ] Reattachment of Pancreatic Duct, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FMF0ZZ] Reattachment of Accessory Pancreatic Duct, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FMF4ZZ] Reattachment of Accessory Pancreatic Duct, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FMG0ZZ] Reattachment of Pancreas, Open Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FMG4ZZ] Reattachment of Pancreas, Percutaneous Endoscopic Approach -- Putting back in or on all or a portion of a separated body part to its normal location or other suitable location
[0FN] Hepatobiliary System and Pancreas, Release -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN00ZZ] Release Liver, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN03ZZ] Release Liver, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN04ZZ] Release Liver, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN10ZZ] Release Right Lobe Liver, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN13ZZ] Release Right Lobe Liver, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN14ZZ] Release Right Lobe Liver, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0FN20ZZ] Release Left Lobe Liver, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
