[07] Lymphatic and Hemic Systems -- Body system (Lymphatic and Hemic Systems) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[071] Lymphatic and Hemic Systems, Bypass -- Altering the route of passage of the contents of a tubular body part
[07L54CZ] Occlusion of Right Axillary Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L54DZ] Occlusion of Right Axillary Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L54ZZ] Occlusion of Right Axillary Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L60CZ] Occlusion of Left Axillary Lymphatic with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L60DZ] Occlusion of Left Axillary Lymphatic with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L60ZZ] Occlusion of Left Axillary Lymphatic, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L63CZ] Occlusion of Left Axillary Lymphatic with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L63DZ] Occlusion of Left Axillary Lymphatic with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L63ZZ] Occlusion of Left Axillary Lymphatic, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L64CZ] Occlusion of Left Axillary Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L64DZ] Occlusion of Left Axillary Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L64ZZ] Occlusion of Left Axillary Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L70CZ] Occlusion of Thorax Lymphatic with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L70DZ] Occlusion of Thorax Lymphatic with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L70ZZ] Occlusion of Thorax Lymphatic, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L73CZ] Occlusion of Thorax Lymphatic with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L73DZ] Occlusion of Thorax Lymphatic with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L73ZZ] Occlusion of Thorax Lymphatic, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L74CZ] Occlusion of Thorax Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L74DZ] Occlusion of Thorax Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L74ZZ] Occlusion of Thorax Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L80CZ] Occlusion of Right Internal Mammary Lymphatic with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L80DZ] Occlusion of Right Internal Mammary Lymphatic with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L80ZZ] Occlusion of Right Internal Mammary Lymphatic, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L83CZ] Occlusion of Right Internal Mammary Lymphatic with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L83DZ] Occlusion of Right Internal Mammary Lymphatic with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L83ZZ] Occlusion of Right Internal Mammary Lymphatic, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L84CZ] Occlusion of Right Internal Mammary Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L84DZ] Occlusion of Right Internal Mammary Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L84ZZ] Occlusion of Right Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L90CZ] Occlusion of Left Internal Mammary Lymphatic with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L90DZ] Occlusion of Left Internal Mammary Lymphatic with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L90ZZ] Occlusion of Left Internal Mammary Lymphatic, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L93CZ] Occlusion of Left Internal Mammary Lymphatic with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L93DZ] Occlusion of Left Internal Mammary Lymphatic with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L93ZZ] Occlusion of Left Internal Mammary Lymphatic, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L94CZ] Occlusion of Left Internal Mammary Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L94DZ] Occlusion of Left Internal Mammary Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07L94ZZ] Occlusion of Left Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LB0CZ] Occlusion of Mesenteric Lymphatic with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LB0DZ] Occlusion of Mesenteric Lymphatic with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LB0ZZ] Occlusion of Mesenteric Lymphatic, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LB3CZ] Occlusion of Mesenteric Lymphatic with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LB3DZ] Occlusion of Mesenteric Lymphatic with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LB3ZZ] Occlusion of Mesenteric Lymphatic, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LB4CZ] Occlusion of Mesenteric Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LB4DZ] Occlusion of Mesenteric Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LB4ZZ] Occlusion of Mesenteric Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LC0CZ] Occlusion of Pelvis Lymphatic with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LC0DZ] Occlusion of Pelvis Lymphatic with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LC0ZZ] Occlusion of Pelvis Lymphatic, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LC3CZ] Occlusion of Pelvis Lymphatic with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LC3DZ] Occlusion of Pelvis Lymphatic with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LC3ZZ] Occlusion of Pelvis Lymphatic, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LC4CZ] Occlusion of Pelvis Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LC4DZ] Occlusion of Pelvis Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LC4ZZ] Occlusion of Pelvis Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LD0CZ] Occlusion of Aortic Lymphatic with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LD0DZ] Occlusion of Aortic Lymphatic with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LD0ZZ] Occlusion of Aortic Lymphatic, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LD3CZ] Occlusion of Aortic Lymphatic with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LD3DZ] Occlusion of Aortic Lymphatic with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LD3ZZ] Occlusion of Aortic Lymphatic, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LD4CZ] Occlusion of Aortic Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LD4DZ] Occlusion of Aortic Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LD4ZZ] Occlusion of Aortic Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LF0CZ] Occlusion of Right Lower Extremity Lymphatic with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LF0DZ] Occlusion of Right Lower Extremity Lymphatic with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LF0ZZ] Occlusion of Right Lower Extremity Lymphatic, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LF3CZ] Occlusion of Right Lower Extremity Lymphatic with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LF3DZ] Occlusion of Right Lower Extremity Lymphatic with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LF3ZZ] Occlusion of Right Lower Extremity Lymphatic, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LF4CZ] Occlusion of Right Lower Extremity Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LF4DZ] Occlusion of Right Lower Extremity Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LF4ZZ] Occlusion of Right Lower Extremity Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LG0CZ] Occlusion of Left Lower Extremity Lymphatic with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LG0DZ] Occlusion of Left Lower Extremity Lymphatic with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LG0ZZ] Occlusion of Left Lower Extremity Lymphatic, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LG3CZ] Occlusion of Left Lower Extremity Lymphatic with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LG3DZ] Occlusion of Left Lower Extremity Lymphatic with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LG3ZZ] Occlusion of Left Lower Extremity Lymphatic, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LG4CZ] Occlusion of Left Lower Extremity Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LG4DZ] Occlusion of Left Lower Extremity Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LG4ZZ] Occlusion of Left Lower Extremity Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LH0CZ] Occlusion of Right Inguinal Lymphatic with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LH0DZ] Occlusion of Right Inguinal Lymphatic with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LH0ZZ] Occlusion of Right Inguinal Lymphatic, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LH3CZ] Occlusion of Right Inguinal Lymphatic with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LH3DZ] Occlusion of Right Inguinal Lymphatic with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LH3ZZ] Occlusion of Right Inguinal Lymphatic, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LH4CZ] Occlusion of Right Inguinal Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LH4DZ] Occlusion of Right Inguinal Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LH4ZZ] Occlusion of Right Inguinal Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LJ0CZ] Occlusion of Left Inguinal Lymphatic with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LJ0DZ] Occlusion of Left Inguinal Lymphatic with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LJ0ZZ] Occlusion of Left Inguinal Lymphatic, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LJ3CZ] Occlusion of Left Inguinal Lymphatic with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LJ3DZ] Occlusion of Left Inguinal Lymphatic with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LJ3ZZ] Occlusion of Left Inguinal Lymphatic, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LJ4CZ] Occlusion of Left Inguinal Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LJ4DZ] Occlusion of Left Inguinal Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LJ4ZZ] Occlusion of Left Inguinal Lymphatic, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LK0CZ] Occlusion of Thoracic Duct with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LK0DZ] Occlusion of Thoracic Duct with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LK0ZZ] Occlusion of Thoracic Duct, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LK3CZ] Occlusion of Thoracic Duct with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LK3DZ] Occlusion of Thoracic Duct with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LK3ZZ] Occlusion of Thoracic Duct, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LK4CZ] Occlusion of Thoracic Duct with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LK4DZ] Occlusion of Thoracic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LK4ZZ] Occlusion of Thoracic Duct, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LL0CZ] Occlusion of Cisterna Chyli with Extraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LL0DZ] Occlusion of Cisterna Chyli with Intraluminal Device, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LL0ZZ] Occlusion of Cisterna Chyli, Open Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LL3CZ] Occlusion of Cisterna Chyli with Extraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LL3DZ] Occlusion of Cisterna Chyli with Intraluminal Device, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LL3ZZ] Occlusion of Cisterna Chyli, Percutaneous Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LL4CZ] Occlusion of Cisterna Chyli with Extraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LL4DZ] Occlusion of Cisterna Chyli with Intraluminal Device, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07LL4ZZ] Occlusion of Cisterna Chyli, Percutaneous Endoscopic Approach -- Completely closing an orifice or the lumen of a tubular body part
[07N] Lymphatic and Hemic Systems, Release -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N00ZZ] Release Head Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N03ZZ] Release Head Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N04ZZ] Release Head Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N10ZZ] Release Right Neck Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N13ZZ] Release Right Neck Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N14ZZ] Release Right Neck Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N20ZZ] Release Left Neck Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N23ZZ] Release Left Neck Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N24ZZ] Release Left Neck Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N30ZZ] Release Right Upper Extremity Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N33ZZ] Release Right Upper Extremity Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N34ZZ] Release Right Upper Extremity Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N40ZZ] Release Left Upper Extremity Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N43ZZ] Release Left Upper Extremity Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N44ZZ] Release Left Upper Extremity Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N50ZZ] Release Right Axillary Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N53ZZ] Release Right Axillary Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N54ZZ] Release Right Axillary Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N60ZZ] Release Left Axillary Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N63ZZ] Release Left Axillary Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N64ZZ] Release Left Axillary Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N70ZZ] Release Thorax Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N73ZZ] Release Thorax Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N74ZZ] Release Thorax Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N80ZZ] Release Right Internal Mammary Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N83ZZ] Release Right Internal Mammary Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N84ZZ] Release Right Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N90ZZ] Release Left Internal Mammary Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N93ZZ] Release Left Internal Mammary Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07N94ZZ] Release Left Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NB0ZZ] Release Mesenteric Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NB3ZZ] Release Mesenteric Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NB4ZZ] Release Mesenteric Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NC0ZZ] Release Pelvis Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NC3ZZ] Release Pelvis Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NC4ZZ] Release Pelvis Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07ND0ZZ] Release Aortic Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07ND3ZZ] Release Aortic Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07ND4ZZ] Release Aortic Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NF0ZZ] Release Right Lower Extremity Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NF3ZZ] Release Right Lower Extremity Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NF4ZZ] Release Right Lower Extremity Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NG0ZZ] Release Left Lower Extremity Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NG3ZZ] Release Left Lower Extremity Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NG4ZZ] Release Left Lower Extremity Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NH0ZZ] Release Right Inguinal Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NH3ZZ] Release Right Inguinal Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NH4ZZ] Release Right Inguinal Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NJ0ZZ] Release Left Inguinal Lymphatic, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NJ3ZZ] Release Left Inguinal Lymphatic, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NJ4ZZ] Release Left Inguinal Lymphatic, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NK0ZZ] Release Thoracic Duct, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NK3ZZ] Release Thoracic Duct, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NK4ZZ] Release Thoracic Duct, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NL0ZZ] Release Cisterna Chyli, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NL3ZZ] Release Cisterna Chyli, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NL4ZZ] Release Cisterna Chyli, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NM0ZZ] Release Thymus, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NM3ZZ] Release Thymus, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NM4ZZ] Release Thymus, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NP0ZZ] Release Spleen, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NP3ZZ] Release Spleen, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07NP4ZZ] Release Spleen, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[07P] Lymphatic and Hemic Systems, Removal -- Taking out or off a device from a body part
[07PK00Z] Removal of Drainage Device from Thoracic Duct, Open Approach -- Taking out or off a device from a body part
[07PK03Z] Removal of Infusion Device from Thoracic Duct, Open Approach -- Taking out or off a device from a body part
[07PK07Z] Removal of Autologous Tissue Substitute from Thoracic Duct, Open Approach -- Taking out or off a device from a body part
[07PK0CZ] Removal of Extraluminal Device from Thoracic Duct, Open Approach -- Taking out or off a device from a body part
[07PK0DZ] Removal of Intraluminal Device from Thoracic Duct, Open Approach -- Taking out or off a device from a body part
[07PK0JZ] Removal of Synthetic Substitute from Thoracic Duct, Open Approach -- Taking out or off a device from a body part
[07PK0KZ] Removal of Nonautologous Tissue Substitute from Thoracic Duct, Open Approach -- Taking out or off a device from a body part
[07PK0YZ] Removal of Other Device from Thoracic Duct, Open Approach -- Taking out or off a device from a body part
[07PK30Z] Removal of Drainage Device from Thoracic Duct, Percutaneous Approach -- Taking out or off a device from a body part
[07PK33Z] Removal of Infusion Device from Thoracic Duct, Percutaneous Approach -- Taking out or off a device from a body part
[07PK37Z] Removal of Autologous Tissue Substitute from Thoracic Duct, Percutaneous Approach -- Taking out or off a device from a body part
[07PK3CZ] Removal of Extraluminal Device from Thoracic Duct, Percutaneous Approach -- Taking out or off a device from a body part
[07PK3DZ] Removal of Intraluminal Device from Thoracic Duct, Percutaneous Approach -- Taking out or off a device from a body part
[07PK3JZ] Removal of Synthetic Substitute from Thoracic Duct, Percutaneous Approach -- Taking out or off a device from a body part
[07PK3KZ] Removal of Nonautologous Tissue Substitute from Thoracic Duct, Percutaneous Approach -- Taking out or off a device from a body part
[07PK3YZ] Removal of Other Device from Thoracic Duct, Percutaneous Approach -- Taking out or off a device from a body part
[07PK40Z] Removal of Drainage Device from Thoracic Duct, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PK43Z] Removal of Infusion Device from Thoracic Duct, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PK47Z] Removal of Autologous Tissue Substitute from Thoracic Duct, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PK4CZ] Removal of Extraluminal Device from Thoracic Duct, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PK4DZ] Removal of Intraluminal Device from Thoracic Duct, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PK4JZ] Removal of Synthetic Substitute from Thoracic Duct, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PK4KZ] Removal of Nonautologous Tissue Substitute from Thoracic Duct, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PK4YZ] Removal of Other Device from Thoracic Duct, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[07PKX0Z] Removal of Drainage Device from Thoracic Duct, External Approach -- Taking out or off a device from a body part
[07PKX3Z] Removal of Infusion Device from Thoracic Duct, External Approach -- Taking out or off a device from a body part
[07PKXDZ] Removal of Intraluminal Device from Thoracic Duct, External Approach -- Taking out or off a device from a body part
[07PL00Z] Removal of Drainage Device from Cisterna Chyli, Open Approach -- Taking out or off a device from a body part
