[0M] Bursae and Ligaments -- Body system (Bursae and Ligaments) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0M2] Bursae and Ligaments, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XX0Z] Change Drainage Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XXYZ] Change Other Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YX0Z] Change Drainage Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YXYZ] Change Other Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M5] Bursae and Ligaments, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0MNC4ZZ] Release Upper Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNCXZZ] Release Upper Spine Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MND0ZZ] Release Lower Spine Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MND3ZZ] Release Lower Spine Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MND4ZZ] Release Lower Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNDXZZ] Release Lower Spine Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNF0ZZ] Release Sternum Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNF3ZZ] Release Sternum Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNF4ZZ] Release Sternum Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNFXZZ] Release Sternum Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNG0ZZ] Release Rib(s) Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNG3ZZ] Release Rib(s) Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNG4ZZ] Release Rib(s) Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNGXZZ] Release Rib(s) Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNH0ZZ] Release Right Abdomen Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNH3ZZ] Release Right Abdomen Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNH4ZZ] Release Right Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNHXZZ] Release Right Abdomen Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNJ0ZZ] Release Left Abdomen Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNJ3ZZ] Release Left Abdomen Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNJ4ZZ] Release Left Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNJXZZ] Release Left Abdomen Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNK0ZZ] Release Perineum Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNK3ZZ] Release Perineum Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNK4ZZ] Release Perineum Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNKXZZ] Release Perineum Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNL0ZZ] Release Right Hip Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNL3ZZ] Release Right Hip Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNL4ZZ] Release Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNLXZZ] Release Right Hip Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNM0ZZ] Release Left Hip Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNM3ZZ] Release Left Hip Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNM4ZZ] Release Left Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNMXZZ] Release Left Hip Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNN0ZZ] Release Right Knee Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNN3ZZ] Release Right Knee Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNN4ZZ] Release Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNNXZZ] Release Right Knee Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNP0ZZ] Release Left Knee Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNP3ZZ] Release Left Knee Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNP4ZZ] Release Left Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNPXZZ] Release Left Knee Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNQ0ZZ] Release Right Ankle Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNQ3ZZ] Release Right Ankle Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNQ4ZZ] Release Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNQXZZ] Release Right Ankle Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNR0ZZ] Release Left Ankle Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNR3ZZ] Release Left Ankle Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNR4ZZ] Release Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNRXZZ] Release Left Ankle Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNS0ZZ] Release Right Foot Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNS3ZZ] Release Right Foot Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNS4ZZ] Release Right Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNSXZZ] Release Right Foot Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNT0ZZ] Release Left Foot Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNT3ZZ] Release Left Foot Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNT4ZZ] Release Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNTXZZ] Release Left Foot Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNV0ZZ] Release Right Lower Extremity Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNV3ZZ] Release Right Lower Extremity Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNV4ZZ] Release Right Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNVXZZ] Release Right Lower Extremity Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNW0ZZ] Release Left Lower Extremity Bursa and Ligament, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNW3ZZ] Release Left Lower Extremity Bursa and Ligament, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNW4ZZ] Release Left Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MNWXZZ] Release Left Lower Extremity Bursa and Ligament, External Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0MP] Bursae and Ligaments, Removal -- Taking out or off a device from a body part
[0MPX00Z] Removal of Drainage Device from Upper Bursa and Ligament, Open Approach -- Taking out or off a device from a body part
[0MPX07Z] Removal of Autologous Tissue Substitute from Upper Bursa and Ligament, Open Approach -- Taking out or off a device from a body part
[0MPX0JZ] Removal of Synthetic Substitute from Upper Bursa and Ligament, Open Approach -- Taking out or off a device from a body part
[0MPX0KZ] Removal of Nonautologous Tissue Substitute from Upper Bursa and Ligament, Open Approach -- Taking out or off a device from a body part
[0MPX0YZ] Removal of Other Device from Upper Bursa and Ligament, Open Approach -- Taking out or off a device from a body part
[0MPX30Z] Removal of Drainage Device from Upper Bursa and Ligament, Percutaneous Approach -- Taking out or off a device from a body part
[0MPX37Z] Removal of Autologous Tissue Substitute from Upper Bursa and Ligament, Percutaneous Approach -- Taking out or off a device from a body part
[0MPX3JZ] Removal of Synthetic Substitute from Upper Bursa and Ligament, Percutaneous Approach -- Taking out or off a device from a body part
[0MPX3KZ] Removal of Nonautologous Tissue Substitute from Upper Bursa and Ligament, Percutaneous Approach -- Taking out or off a device from a body part
[0MPX3YZ] Removal of Other Device from Upper Bursa and Ligament, Percutaneous Approach -- Taking out or off a device from a body part
[0MPX40Z] Removal of Drainage Device from Upper Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0MPX47Z] Removal of Autologous Tissue Substitute from Upper Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0MPX4JZ] Removal of Synthetic Substitute from Upper Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0MPX4KZ] Removal of Nonautologous Tissue Substitute from Upper Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0MPX4YZ] Removal of Other Device from Upper Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0MPXX0Z] Removal of Drainage Device from Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part
[0MPY00Z] Removal of Drainage Device from Lower Bursa and Ligament, Open Approach -- Taking out or off a device from a body part
[0MPY07Z] Removal of Autologous Tissue Substitute from Lower Bursa and Ligament, Open Approach -- Taking out or off a device from a body part
[0MPY0JZ] Removal of Synthetic Substitute from Lower Bursa and Ligament, Open Approach -- Taking out or off a device from a body part
[0MPY0KZ] Removal of Nonautologous Tissue Substitute from Lower Bursa and Ligament, Open Approach -- Taking out or off a device from a body part
[0MPY0YZ] Removal of Other Device from Lower Bursa and Ligament, Open Approach -- Taking out or off a device from a body part
[0MPY30Z] Removal of Drainage Device from Lower Bursa and Ligament, Percutaneous Approach -- Taking out or off a device from a body part
[0MPY37Z] Removal of Autologous Tissue Substitute from Lower Bursa and Ligament, Percutaneous Approach -- Taking out or off a device from a body part
[0MPY3JZ] Removal of Synthetic Substitute from Lower Bursa and Ligament, Percutaneous Approach -- Taking out or off a device from a body part
[0MPY3KZ] Removal of Nonautologous Tissue Substitute from Lower Bursa and Ligament, Percutaneous Approach -- Taking out or off a device from a body part
[0MPY3YZ] Removal of Other Device from Lower Bursa and Ligament, Percutaneous Approach -- Taking out or off a device from a body part
[0MPY40Z] Removal of Drainage Device from Lower Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0MPY47Z] Removal of Autologous Tissue Substitute from Lower Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0MPY4JZ] Removal of Synthetic Substitute from Lower Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0MPY4KZ] Removal of Nonautologous Tissue Substitute from Lower Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0MPY4YZ] Removal of Other Device from Lower Bursa and Ligament, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0MPYX0Z] Removal of Drainage Device from Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part
[0MQ] Bursae and Ligaments, Repair -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ00ZZ] Repair Head and Neck Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ03ZZ] Repair Head and Neck Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ04ZZ] Repair Head and Neck Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ10ZZ] Repair Right Shoulder Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ13ZZ] Repair Right Shoulder Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ14ZZ] Repair Right Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ20ZZ] Repair Left Shoulder Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ23ZZ] Repair Left Shoulder Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ24ZZ] Repair Left Shoulder Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ30ZZ] Repair Right Elbow Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ33ZZ] Repair Right Elbow Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ34ZZ] Repair Right Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ40ZZ] Repair Left Elbow Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ43ZZ] Repair Left Elbow Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ44ZZ] Repair Left Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ50ZZ] Repair Right Wrist Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ53ZZ] Repair Right Wrist Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ54ZZ] Repair Right Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ60ZZ] Repair Left Wrist Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ63ZZ] Repair Left Wrist Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ64ZZ] Repair Left Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ70ZZ] Repair Right Hand Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ73ZZ] Repair Right Hand Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ74ZZ] Repair Right Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ80ZZ] Repair Left Hand Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ83ZZ] Repair Left Hand Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ84ZZ] Repair Left Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ90ZZ] Repair Right Upper Extremity Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ93ZZ] Repair Right Upper Extremity Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQ94ZZ] Repair Right Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQB0ZZ] Repair Left Upper Extremity Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQB3ZZ] Repair Left Upper Extremity Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQB4ZZ] Repair Left Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQC0ZZ] Repair Upper Spine Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQC3ZZ] Repair Upper Spine Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQC4ZZ] Repair Upper Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQD0ZZ] Repair Lower Spine Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQD3ZZ] Repair Lower Spine Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQD4ZZ] Repair Lower Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQF0ZZ] Repair Sternum Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQF3ZZ] Repair Sternum Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQF4ZZ] Repair Sternum Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQG0ZZ] Repair Rib(s) Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQG3ZZ] Repair Rib(s) Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQG4ZZ] Repair Rib(s) Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQH0ZZ] Repair Right Abdomen Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQH3ZZ] Repair Right Abdomen Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQH4ZZ] Repair Right Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQJ0ZZ] Repair Left Abdomen Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQJ3ZZ] Repair Left Abdomen Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQJ4ZZ] Repair Left Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQK0ZZ] Repair Perineum Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQK3ZZ] Repair Perineum Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQK4ZZ] Repair Perineum Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQL0ZZ] Repair Right Hip Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQL3ZZ] Repair Right Hip Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQL4ZZ] Repair Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQM0ZZ] Repair Left Hip Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQM3ZZ] Repair Left Hip Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQM4ZZ] Repair Left Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQN0ZZ] Repair Right Knee Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQN3ZZ] Repair Right Knee Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQN4ZZ] Repair Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQP0ZZ] Repair Left Knee Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQP3ZZ] Repair Left Knee Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQP4ZZ] Repair Left Knee Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQQ0ZZ] Repair Right Ankle Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQQ3ZZ] Repair Right Ankle Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQQ4ZZ] Repair Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQR0ZZ] Repair Left Ankle Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQR3ZZ] Repair Left Ankle Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQR4ZZ] Repair Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQS0ZZ] Repair Right Foot Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQS3ZZ] Repair Right Foot Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQS4ZZ] Repair Right Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQT0ZZ] Repair Left Foot Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQT3ZZ] Repair Left Foot Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQT4ZZ] Repair Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQV0ZZ] Repair Right Lower Extremity Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQV3ZZ] Repair Right Lower Extremity Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQV4ZZ] Repair Right Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQW0ZZ] Repair Left Lower Extremity Bursa and Ligament, Open Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQW3ZZ] Repair Left Lower Extremity Bursa and Ligament, Percutaneous Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MQW4ZZ] Repair Left Lower Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Restoring, to the extent possible, a body part to its normal anatomic structure and function
[0MR] Bursae and Ligaments, Replacement -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR007Z] Replacement of Head and Neck Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR00JZ] Replacement of Head and Neck Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR00KZ] Replacement of Head and Neck Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR047Z] Replacement of Head and Neck Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR04JZ] Replacement of Head and Neck Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR04KZ] Replacement of Head and Neck Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR107Z] Replacement of Right Shoulder Bursa and Ligament with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR10JZ] Replacement of Right Shoulder Bursa and Ligament with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR10KZ] Replacement of Right Shoulder Bursa and Ligament with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR147Z] Replacement of Right Shoulder Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
[0MR14JZ] Replacement of Right Shoulder Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically takes the place and/or function of all or a portion of a body part
