[0G] Endocrine System -- Body system (Endocrine System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0G2] Endocrine System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G20X0Z] Change Drainage Device in Pituitary Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G20XYZ] Change Other Device in Pituitary Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G21X0Z] Change Drainage Device in Pineal Body, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G21XYZ] Change Other Device in Pineal Body, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G25X0Z] Change Drainage Device in Adrenal Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G25XYZ] Change Other Device in Adrenal Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2KX0Z] Change Drainage Device in Thyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2KXYZ] Change Other Device in Thyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2RX0Z] Change Drainage Device in Parathyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2RXYZ] Change Other Device in Parathyroid Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2SX0Z] Change Drainage Device in Endocrine Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G2SXYZ] Change Other Device in Endocrine Gland, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0G5] Endocrine System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0GB20ZX] Excision of Left Adrenal Gland, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB20ZZ] Excision of Left Adrenal Gland, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB23ZX] Excision of Left Adrenal Gland, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB23ZZ] Excision of Left Adrenal Gland, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB24ZX] Excision of Left Adrenal Gland, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB24ZZ] Excision of Left Adrenal Gland, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB30ZX] Excision of Right Adrenal Gland, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB30ZZ] Excision of Right Adrenal Gland, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB33ZX] Excision of Right Adrenal Gland, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB33ZZ] Excision of Right Adrenal Gland, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB34ZX] Excision of Right Adrenal Gland, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB34ZZ] Excision of Right Adrenal Gland, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB40ZX] Excision of Bilateral Adrenal Glands, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB40ZZ] Excision of Bilateral Adrenal Glands, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB43ZX] Excision of Bilateral Adrenal Glands, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB43ZZ] Excision of Bilateral Adrenal Glands, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB44ZX] Excision of Bilateral Adrenal Glands, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB44ZZ] Excision of Bilateral Adrenal Glands, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB60ZX] Excision of Left Carotid Body, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB60ZZ] Excision of Left Carotid Body, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB63ZX] Excision of Left Carotid Body, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB63ZZ] Excision of Left Carotid Body, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB64ZX] Excision of Left Carotid Body, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB64ZZ] Excision of Left Carotid Body, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB70ZX] Excision of Right Carotid Body, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB70ZZ] Excision of Right Carotid Body, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB73ZX] Excision of Right Carotid Body, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB73ZZ] Excision of Right Carotid Body, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB74ZX] Excision of Right Carotid Body, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB74ZZ] Excision of Right Carotid Body, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB80ZX] Excision of Bilateral Carotid Bodies, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB80ZZ] Excision of Bilateral Carotid Bodies, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB83ZX] Excision of Bilateral Carotid Bodies, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB83ZZ] Excision of Bilateral Carotid Bodies, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB84ZX] Excision of Bilateral Carotid Bodies, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB84ZZ] Excision of Bilateral Carotid Bodies, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB90ZX] Excision of Para-aortic Body, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB90ZZ] Excision of Para-aortic Body, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB93ZX] Excision of Para-aortic Body, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB93ZZ] Excision of Para-aortic Body, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GB94ZX] Excision of Para-aortic Body, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GB94ZZ] Excision of Para-aortic Body, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBB0ZX] Excision of Coccygeal Glomus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBB0ZZ] Excision of Coccygeal Glomus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBB3ZX] Excision of Coccygeal Glomus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBB3ZZ] Excision of Coccygeal Glomus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBB4ZX] Excision of Coccygeal Glomus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBB4ZZ] Excision of Coccygeal Glomus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBC0ZX] Excision of Glomus Jugulare, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBC0ZZ] Excision of Glomus Jugulare, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBC3ZX] Excision of Glomus Jugulare, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBC3ZZ] Excision of Glomus Jugulare, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBC4ZX] Excision of Glomus Jugulare, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBC4ZZ] Excision of Glomus Jugulare, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBD0ZX] Excision of Aortic Body, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBD0ZZ] Excision of Aortic Body, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBD3ZX] Excision of Aortic Body, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBD3ZZ] Excision of Aortic Body, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBD4ZX] Excision of Aortic Body, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBD4ZZ] Excision of Aortic Body, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBF0ZX] Excision of Paraganglion Extremity, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBF0ZZ] Excision of Paraganglion Extremity, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBF3ZX] Excision of Paraganglion Extremity, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBF3ZZ] Excision of Paraganglion Extremity, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBF4ZX] Excision of Paraganglion Extremity, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBF4ZZ] Excision of Paraganglion Extremity, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBG0ZX] Excision of Left Thyroid Gland Lobe, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBG0ZZ] Excision of Left Thyroid Gland Lobe, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBG3ZX] Excision of Left Thyroid Gland Lobe, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBG3ZZ] Excision of Left Thyroid Gland Lobe, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBG4ZX] Excision of Left Thyroid Gland Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBG4ZZ] Excision of Left Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBH0ZX] Excision of Right Thyroid Gland Lobe, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBH0ZZ] Excision of Right Thyroid Gland Lobe, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBH3ZX] Excision of Right Thyroid Gland Lobe, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBH3ZZ] Excision of Right Thyroid Gland Lobe, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBH4ZX] Excision of Right Thyroid Gland Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBH4ZZ] Excision of Right Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBJ0ZX] Excision of Thyroid Gland Isthmus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBJ0ZZ] Excision of Thyroid Gland Isthmus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBJ3ZX] Excision of Thyroid Gland Isthmus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBJ3ZZ] Excision of Thyroid Gland Isthmus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBJ4ZX] Excision of Thyroid Gland Isthmus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBJ4ZZ] Excision of Thyroid Gland Isthmus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBL0ZX] Excision of Right Superior Parathyroid Gland, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBL0ZZ] Excision of Right Superior Parathyroid Gland, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBL3ZX] Excision of Right Superior Parathyroid Gland, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBL3ZZ] Excision of Right Superior Parathyroid Gland, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBL4ZX] Excision of Right Superior Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBL4ZZ] Excision of Right Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBM0ZX] Excision of Left Superior Parathyroid Gland, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBM0ZZ] Excision of Left Superior Parathyroid Gland, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBM3ZX] Excision of Left Superior Parathyroid Gland, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBM3ZZ] Excision of Left Superior Parathyroid Gland, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBM4ZX] Excision of Left Superior Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBM4ZZ] Excision of Left Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBN0ZX] Excision of Right Inferior Parathyroid Gland, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBN0ZZ] Excision of Right Inferior Parathyroid Gland, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBN3ZX] Excision of Right Inferior Parathyroid Gland, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBN3ZZ] Excision of Right Inferior Parathyroid Gland, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBN4ZX] Excision of Right Inferior Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBN4ZZ] Excision of Right Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBP0ZX] Excision of Left Inferior Parathyroid Gland, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBP0ZZ] Excision of Left Inferior Parathyroid Gland, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBP3ZX] Excision of Left Inferior Parathyroid Gland, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBP3ZZ] Excision of Left Inferior Parathyroid Gland, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBP4ZX] Excision of Left Inferior Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBP4ZZ] Excision of Left Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBQ0ZX] Excision of Multiple Parathyroid Glands, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBQ0ZZ] Excision of Multiple Parathyroid Glands, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBQ3ZX] Excision of Multiple Parathyroid Glands, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBQ3ZZ] Excision of Multiple Parathyroid Glands, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBQ4ZX] Excision of Multiple Parathyroid Glands, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBQ4ZZ] Excision of Multiple Parathyroid Glands, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBR0ZX] Excision of Parathyroid Gland, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBR0ZZ] Excision of Parathyroid Gland, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBR3ZX] Excision of Parathyroid Gland, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBR3ZZ] Excision of Parathyroid Gland, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0GBR4ZX] Excision of Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0GBR4ZZ] Excision of Parathyroid Gland, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0GC] Endocrine System, Extirpation -- Taking or cutting out solid matter from a body part
[0GC00ZZ] Extirpation of Matter from Pituitary Gland, Open Approach -- Taking or cutting out solid matter from a body part
[0GC03ZZ] Extirpation of Matter from Pituitary Gland, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GC04ZZ] Extirpation of Matter from Pituitary Gland, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GC10ZZ] Extirpation of Matter from Pineal Body, Open Approach -- Taking or cutting out solid matter from a body part
[0GC13ZZ] Extirpation of Matter from Pineal Body, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GC14ZZ] Extirpation of Matter from Pineal Body, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GC20ZZ] Extirpation of Matter from Left Adrenal Gland, Open Approach -- Taking or cutting out solid matter from a body part
[0GC23ZZ] Extirpation of Matter from Left Adrenal Gland, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GC24ZZ] Extirpation of Matter from Left Adrenal Gland, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GC30ZZ] Extirpation of Matter from Right Adrenal Gland, Open Approach -- Taking or cutting out solid matter from a body part
[0GC33ZZ] Extirpation of Matter from Right Adrenal Gland, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GC34ZZ] Extirpation of Matter from Right Adrenal Gland, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GC40ZZ] Extirpation of Matter from Bilateral Adrenal Glands, Open Approach -- Taking or cutting out solid matter from a body part
[0GC43ZZ] Extirpation of Matter from Bilateral Adrenal Glands, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GC44ZZ] Extirpation of Matter from Bilateral Adrenal Glands, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GC60ZZ] Extirpation of Matter from Left Carotid Body, Open Approach -- Taking or cutting out solid matter from a body part
[0GC63ZZ] Extirpation of Matter from Left Carotid Body, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GC64ZZ] Extirpation of Matter from Left Carotid Body, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GC70ZZ] Extirpation of Matter from Right Carotid Body, Open Approach -- Taking or cutting out solid matter from a body part
[0GC73ZZ] Extirpation of Matter from Right Carotid Body, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GC74ZZ] Extirpation of Matter from Right Carotid Body, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GC80ZZ] Extirpation of Matter from Bilateral Carotid Bodies, Open Approach -- Taking or cutting out solid matter from a body part
[0GC83ZZ] Extirpation of Matter from Bilateral Carotid Bodies, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GC84ZZ] Extirpation of Matter from Bilateral Carotid Bodies, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GC90ZZ] Extirpation of Matter from Para-aortic Body, Open Approach -- Taking or cutting out solid matter from a body part
[0GC93ZZ] Extirpation of Matter from Para-aortic Body, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GC94ZZ] Extirpation of Matter from Para-aortic Body, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCB0ZZ] Extirpation of Matter from Coccygeal Glomus, Open Approach -- Taking or cutting out solid matter from a body part
[0GCB3ZZ] Extirpation of Matter from Coccygeal Glomus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCB4ZZ] Extirpation of Matter from Coccygeal Glomus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCC0ZZ] Extirpation of Matter from Glomus Jugulare, Open Approach -- Taking or cutting out solid matter from a body part
[0GCC3ZZ] Extirpation of Matter from Glomus Jugulare, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCC4ZZ] Extirpation of Matter from Glomus Jugulare, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCD0ZZ] Extirpation of Matter from Aortic Body, Open Approach -- Taking or cutting out solid matter from a body part
[0GCD3ZZ] Extirpation of Matter from Aortic Body, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCD4ZZ] Extirpation of Matter from Aortic Body, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCF0ZZ] Extirpation of Matter from Paraganglion Extremity, Open Approach -- Taking or cutting out solid matter from a body part
[0GCF3ZZ] Extirpation of Matter from Paraganglion Extremity, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCF4ZZ] Extirpation of Matter from Paraganglion Extremity, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCG0ZZ] Extirpation of Matter from Left Thyroid Gland Lobe, Open Approach -- Taking or cutting out solid matter from a body part
[0GCG3ZZ] Extirpation of Matter from Left Thyroid Gland Lobe, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCG4ZZ] Extirpation of Matter from Left Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCH0ZZ] Extirpation of Matter from Right Thyroid Gland Lobe, Open Approach -- Taking or cutting out solid matter from a body part
[0GCH3ZZ] Extirpation of Matter from Right Thyroid Gland Lobe, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCH4ZZ] Extirpation of Matter from Right Thyroid Gland Lobe, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCK0ZZ] Extirpation of Matter from Thyroid Gland, Open Approach -- Taking or cutting out solid matter from a body part
[0GCK3ZZ] Extirpation of Matter from Thyroid Gland, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCK4ZZ] Extirpation of Matter from Thyroid Gland, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCL0ZZ] Extirpation of Matter from Right Superior Parathyroid Gland, Open Approach -- Taking or cutting out solid matter from a body part
[0GCL3ZZ] Extirpation of Matter from Right Superior Parathyroid Gland, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCL4ZZ] Extirpation of Matter from Right Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCM0ZZ] Extirpation of Matter from Left Superior Parathyroid Gland, Open Approach -- Taking or cutting out solid matter from a body part
[0GCM3ZZ] Extirpation of Matter from Left Superior Parathyroid Gland, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCM4ZZ] Extirpation of Matter from Left Superior Parathyroid Gland, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCN0ZZ] Extirpation of Matter from Right Inferior Parathyroid Gland, Open Approach -- Taking or cutting out solid matter from a body part
[0GCN3ZZ] Extirpation of Matter from Right Inferior Parathyroid Gland, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCN4ZZ] Extirpation of Matter from Right Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCP0ZZ] Extirpation of Matter from Left Inferior Parathyroid Gland, Open Approach -- Taking or cutting out solid matter from a body part
[0GCP3ZZ] Extirpation of Matter from Left Inferior Parathyroid Gland, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCP4ZZ] Extirpation of Matter from Left Inferior Parathyroid Gland, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCQ0ZZ] Extirpation of Matter from Multiple Parathyroid Glands, Open Approach -- Taking or cutting out solid matter from a body part
[0GCQ3ZZ] Extirpation of Matter from Multiple Parathyroid Glands, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCQ4ZZ] Extirpation of Matter from Multiple Parathyroid Glands, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GCR0ZZ] Extirpation of Matter from Parathyroid Gland, Open Approach -- Taking or cutting out solid matter from a body part
[0GCR3ZZ] Extirpation of Matter from Parathyroid Gland, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0GCR4ZZ] Extirpation of Matter from Parathyroid Gland, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0GH] Endocrine System, Insertion -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS01Z] Insertion of Radioactive Element into Endocrine Gland, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS02Z] Insertion of Monitoring Device into Endocrine Gland, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS03Z] Insertion of Infusion Device into Endocrine Gland, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS0YZ] Insertion of Other Device into Endocrine Gland, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS31Z] Insertion of Radioactive Element into Endocrine Gland, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS32Z] Insertion of Monitoring Device into Endocrine Gland, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS33Z] Insertion of Infusion Device into Endocrine Gland, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS3YZ] Insertion of Other Device into Endocrine Gland, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS41Z] Insertion of Radioactive Element into Endocrine Gland, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS42Z] Insertion of Monitoring Device into Endocrine Gland, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS43Z] Insertion of Infusion Device into Endocrine Gland, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GHS4YZ] Insertion of Other Device into Endocrine Gland, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0GJ] Endocrine System, Inspection -- Visually and/or manually exploring a body part
[0GJ00ZZ] Inspection of Pituitary Gland, Open Approach -- Visually and/or manually exploring a body part
